Website,Link,Tên xe,Giá,Ngày đăng,Tên người bán,Địa chỉ,Năm sản xuất,Tình trạng,Số Km đã đi,Kiểu dáng,Màu ngoại thất,Số chỗ ngồi,Mô tả,vehicle_type
bonbanh.com,https://bonbanh.com/xe-vinfast-vf5-plus-2025-6799724,VinFast VF5 Plus 2025,395 Triệu,22/06/2026,Nguyễn Đức Trọng,"68 Đinh Núp, Yên Hoà, Cầu Giấy Hà Nội",2025,Xe đã dùng,7 Km,SUV,Trắng,5 chỗ,"Vinfasr VF5 sản xuất 2025 bản Plus mua Pin | Lăn bánh 7v km hơn chút. Sạc miễn phí tới 9/2027. Đã lên Film 3M, Thảm Sàn, Cam 360 . | Cam kết bằng văn bản về Chất lượng",oto_dien
bonbanh.com,https://bonbanh.com/xe-vinfast-vf6-eco-2026-6757845,VinFast VF6 Eco 2026,592 Triệu,22/06/2026,Vinfast Tràng An Đống Đa,"568 Đường Láng, Đống Đa Hà Nội",2026,Xe mới,0 Km,SUV,Trắng,5 chỗ,"Trong phân khúc B-SUV tại thị trường Việt Nam, chỉ duy nhất VinFast VF6 được trang bị hệ thống treo độc lập liên kết đa điểm, các đối thủ trong phân khúc B-SUV đều chỉ được trang bị hệ thông treo phụ thuộc mà thôi. VF6 sẽ mang lại sự đầm chắc và ổn định khi xe di chuyển qua các ổ gà hay đoạn đường mấp mô. | Về sức mạnh vận hành và cảm giác lái VF6 Base trang bị động cơ 100kw tương đương 134 mã lực và sức kéo đạt 135Nm, xe trang bị pack pin có dung lượng gần 60kwh, do trọng lượng nhẹ hơn nên quảng đường di chuyển tối đa theo tiêu chuẩn châu âu của VF6 Base là 399km .",oto_dien
bonbanh.com,https://bonbanh.com/xe-vinfast-vf3-plus-2025-6748053,VinFast VF3 Plus 2025,226 Triệu,22/06/2026,GF Phương Đông - Bát Tràng,"268 Đường Giáp Hải, Xã Bát Tràng Hà Nội",2025,Xe đã dùng,"15,000 Km",Hatchback,Trắng,4 chỗ,"Vinfast VF3 Vin25 , odo 1,5 vạn | - Các chính sách áp dụng : | + Giảm 50tr tiền mặt | + Giảm 70tr chuyển đổi xăng sang điện | + Giảm giá trực tiếp",oto_dien
bonbanh.com,https://bonbanh.com/xe-vinfast-vf5-plus-2024-6772621,VinFast VF5 Plus 2024,370 Triệu,22/06/2026,Auto Thắng Lợi,Quốc lộ 1A Thôn Hoàng Thượng Phường Tam Thanh Tỉnh Lạng Sơn Lạng Sơn,2024,Xe đã dùng,"120,000 Km",SUV,Xanh,5 chỗ,Bán lại xe vf5 có chạy dịch vụ bản mua đứt pin xe chạy đc 1 năm cam kết ko tai nạn ngập nước hỗ trợ sang tên chính chủ chi tiết liên hệ trực tiếp giá cả còn thương lượng,oto_dien
bonbanh.com,https://bonbanh.com/xe-vinfast-vf8-plus-awd-2023-6602673,VinFast VF8 Plus AWD 2023,661 Triệu,22/06/2026,GF Hoàng Quốc Việt,"14 Hoàng Quốc Việt, Cầu Giấy Hà Nội",2023,Xe đã dùng,"47,000 Km",SUV,Đỏ,5 chỗ,"VF8 2023 MÀU ĐỎ – XE ĐẸP BẢN PLUS – QUÀ NOEL HẤP DẪN! | Cuối năm săn xe đẹp – đây là chiếc VF8 rất đáng xuống tiền! | VinFast VF8 đời 2023, sang trọng, form xe cực đẹp, chạy chuẩn 4.7 vạn km, chất lượng còn rất mới. | Điểm khiến khách xem là mê: | Màu ĐỎ,TRẺ lịch lãm – càng nhìn càng sang | Bản Plus full option | Cửa sổ trời rộng thoáng | Ghế da xịn, nội thất sạch – giữ gìn kỹ | Vận hành êm ái, pin khỏe, đi rất sướng | ✓ Cam kết xe đẹp – không đâm va – không ngập nước – bao check hãng | Xe đang trưng bày, xem xe trực tiếp là chốt! | QUÀ NOEL ĐẶC BIỆT: | Cọc xe trong tháng này – TẶNG NGAY QUÀ NOEL GIÁ TRỊ | Áp dụng cho khách thiện chí, số lượng có hạn | Giá bán cực hợp lý ĐÃ TRỪ 120 CHO KHÁCH CÓ XE XĂNG ĐỔI XE ĐIỆN– ưu tiên khách chốt nhanh | Xe đẹp – đời cao – option đủ – không có chiếc thứ 2 tương tự | Liên hệ ngay | Xem xe tại showroom – cọc sớm, nhận quà Noel ngay! | VF8 2023 – xe đẹp – quà Noel – mua là lời!",oto_dien
bonbanh.com,https://bonbanh.com/xe-vinfast-vf6-plus-2026-6544951,VinFast VF6 Plus 2026,640 Triệu,22/06/2026,Vinfast Times City,"Tầng B1, TTTM Vincom Times City - 458 Minh Khai, Vĩnh Tuy, Hai Bà Trưng Hà Nội",2026,Xe mới,0 Km,SUV,Đỏ,5 chỗ,"VINFAST – ƯU ĐÃI LỚN CHƯA TỪNG CÓ | - Giảm giá trực tiếp lên đến 6% | - Khách hàng Công an – Quân đội giảm thêm 5% | - Hỗ trợ thu xe xăng đổi xe điện – thêm ưu đãi 3% | - Tổng ưu đãi có thể lên tới 18% + quà tặng tiền mặt | - Sạc miễn phí 3 năm – không giới hạn → di chuyển gần như 0 đồng | - Hỗ trợ trả góp đến 90% giá xe | -Lái thử miễn phí tận nhà | - Hỗ trợ toàn bộ thủ tục đăng ký – đăng kiểm | - Giao xe tận nhà nhanh chóng | Liên hệ ngay để nhận báo giá tốt nhất hôm nay | VinFast Times City – Hoàng Anh | VinFast VF6 Plus 2026 sở hữu vẻ ngoài khá bắt mắt với những đường nét vuông vắn, cá tính. Lưới tản nhiệt phía trước được thiết kế tinh tế, vuốt dài về phía sau tạo cảm giác thể thao. Đèn pha LED sắc sảo và la-zăng hợp kim 16 inch mang tới diện mạo hiện đại, năng động cho xe. Bên trong cabin, không gian nội thất rộng rãi, thoải mái so với kích thước tổng thể nhỏ gọn của xe. | ✓ Công suất tối đa 150kW = 201hp | ✓ Quãng đường đi được 400km | ✓ Hỗ trợ lái tự động Level 2 ( nâng cấp mới) | ✓ Tính năng an toàn đầy đủ: ABS, EBD, BA, ESC, TCS, HSA, ROM, ESS, dTPMS…..",oto_dien
bonbanh.com,https://bonbanh.com/xe-vinfast-vf5-plus-2026-6831665,VinFast VF5 Plus 2026,439 Triệu,22/06/2026,Khánh Vũ,"162 Trường Chinh, Phường Kim Liên Hà Nội Xem gian hàng ⇨",2026,Xe mới,0 Km,SUV,Xanh,5 chỗ,"VF 5 Plus 2026 – Có sẵn xe, giao ngay toàn quốc! | Ưu đãi hấp dẫn lên tới 14%: | - 6% chương trình “Mãnh liệt vì tương lai xanh” | - 5% ưu đãi dành cho công an, quân đội | - 3% hỗ trợ chuyển đổi từ xe xăng sang xe điện | - Chi phí sử dụng tiết kiệm | - Dễ lái – dễ làm quen | - Phù hợp gia đình trẻ và khách mua xe lần đầu | - Hệ thống trạm sạc phủ khắp 63 tỉnh thành | - Chính sách bảo hành dài hạn, an tâm sử dụng | - Cam kết hỗ trợ tận tâm: | ▪️ Có sẵn nhiều màu, đủ phiên bản | ▪️ Hỗ trợ thủ tục nhanh gọn từ A-Z | ▪️ Hỗ trợ đăng ký, đăng kiểm tận tình | ▪️ Tư vấn nhiệt tình như người nhà | Liên hệ ngay để nhận ưu đãi tốt nhất và giữ màu xe đẹp!",oto_dien
bonbanh.com,https://bonbanh.com/xe-vinfast-limo-green-at-2026-6844827,VinFast Limo Green AT 2026,616 Triệu,22/06/2026,Vinfast Newway Hoài Đức,"KCN Lai Xá, Kim Chung, Hoài Đức (cách ngã tư Nhổn 500m) Hà Nội",2026,Xe mới,0 Km,SUV,Bạc,7 chỗ,"VINFAST LIMO GREEN AT 2026 – MPV ĐIỆN 7 CHỖ THẾ HỆ MỚI | VinFast Limo Green AT 2026 là mẫu MPV thuần điện hoàn toàn mới, sở hữu không gian rộng rãi, chi phí vận hành tiết kiệm cùng nhiều công nghệ hiện đại, phù hợp cho gia đình, dịch vụ vận tải và kinh doanh hành khách. | ✓ Thiết kế MPV hiện đại, sang trọng | ✓ Không gian 7 chỗ rộng rãi | ✓ Vận hành hoàn toàn bằng điện, êm ái và thân thiện môi trường | ✓ Màn hình giải trí trung tâm hiện đại | ✓ Điều hòa đa vùng làm mát hiệu quả | ✓ Hệ thống an toàn và hỗ trợ lái tiên tiến | Động cơ điện mạnh mẽ, tăng tốc mượt mà | Chi phí sử dụng và bảo dưỡng thấp | Không gian hành khách rộng rãi, thoải mái cho những hành trình dài",oto_dien
bonbanh.com,https://bonbanh.com/xe-vinfast-vf8-plus-awd-2023-6728303,VinFast VF8 Plus AWD 2023,835 Triệu,22/06/2026,Zin Auto,627 Mê Linh - Khai Quang - Vĩnh Yên Vĩnh Phúc,2023,Xe đã dùng,"35,000 Km",SUV,Bạc,5 chỗ,"VF8 Plus Bạc-Kem sản xuất 2023 chạy 35000km | - Động cơ mạnh mẽ 350hp | - Màn hình cảm ứng 15,6 inh thay thế hoàn toàn các nút bấm vật lý, vô lămg D-cut bọc da tích hợp nhiều phím chức năng....cùng với nhiều công nghệ hỗ trợ lái xe thông minh. Những trang bị này không chỉ đảm bảo sự tiện nghi mà còn nâng cao trải nghiệm lái xe, giúp người dùng cảm thấy thoải mái và an toàn trong suốt hành trình. | - Xe cam kết không đâm đụng, không ngập nước, bao check hãng toàn quốc. | - Hỗ trợ sang tên đổi chủ, thủ tục giấy tờ pháp lý rõ ràng. | - Chế độ bảo hành hậu mãi, chăm sóc xe miễn phí sau khi mua xe | Liên hệ để biết thêm thông tin xe",oto_dien
bonbanh.com,https://bonbanh.com/xe-vinfast-vf3-plus-2025-6755989,VinFast VF3 Plus 2025,246 Triệu,22/06/2026,GF Phú Thọ,"538 Nguyễn Tất Thành, phường Nông Trang Phú Thọ",2025,Xe đã dùng,"18,000 Km",Hatchback,Vàng,4 chỗ,"VinFast VF3 Vàng sản xuất 2025 chạy 1v8 | Điểm nhấn nổi bật trong thiết kế nội thất là các chi tiết ốp chrome tại khu vực trung tâm, tạo điểm nhấn tinh tế. Bảng điều khiển mang phong cách tối giản nhưng vẫn toát lên sự sang trọng nhờ sự kết hợp hài hòa giữa các chất liệu, mang đến không gian nội thất độc đáo và phong phú. | Phía sau vô-lăng, một màn hình điện tử 8 inch hiển thị các thông tin quan trọng và hỗ trợ kết nối Bluetooth. Hàng ghế thứ hai được trang bị cổng USB loại A (1,5A), trong khi phanh tay được tích hợp vào nút P trên cần gạt vô-lăng, giúp tài xế thao tác dễ dàng hơn. | VinFast VF3 được trang bị các tính năng an toàn cơ bản như chống bó cứng phanh (ABS), hỗ trợ phanh khẩn cấp, kiểm soát lực kéo (TCS), hỗ trợ khởi hành ngang dốc và căng đai khẩn cấp cho ghế trước. Xe cũng tích hợp tính năng khóa động cơ khi phát hiện trộm cùng một túi khí nhằm bảo vệ người lái. | - Xe cam kết không đâm đụng, không ngập nước, bao check hãng toàn quốc. | - Hỗ trợ sang tên đổi chủ, thủ tục giấy tờ pháp lý rõ ràng. | - Chế độ bảo hành hậu mãi, chăm sóc xe miễn phí sau khi mua xe | Liên hệ để biết thêm thông tin xe",oto_dien
bonbanh.com,https://bonbanh.com/xe-mercedes_benz-eqs-450-plus-2024-6849968,Mercedes Benz EQS 450 Plus 2024,2 Tỷ 999 Triệu,22/06/2026,Phát Đạt Luxury Car,"Số 1 Đường Số 13, KDC Phú Mỹ, P. Tân Mỹ (P. Phú Mỹ cũ), Q.7 TP HCM",2024,Xe đã dùng,"2,000 Km",Sedan,Đen,5 chỗ,"Mercedes_EQS450+_V1 Model 2024 Odo 2.000 km ( Full-size luxury EV ). | Màu Đen / nội thất Kem | Động cơ điện pin Lithium 107.8 kWh dẫn động cầu sau, công suất 333 mã lực, bảo hành pin 10 năm, sạc đầy đi được 600-700 km. | Xe trang bị: Đèn LED Digital Light, mâm 21 inch, nội thất ốp gỗ, ghế da nappa massage sưởi/làm mát, màn hình Hyperscreen 56 inch, 15 loa Burmester 3D, HUD, đèn viền nội thất, cửa sổ trời toàn cảnh, lọc không khí Hepa 3 tầng, camera 360,... | Bảo hành chính hãng không giới hạn km ,Bao test hãng Toàn Quốc. | Tặng ngay gói chăm sóc xe và phủ Ceramic cao cấp . | CAM KẾT ; xe không đâm đụng, không ngập nước, km chuẩn. | Ngân hàng hỗ trợ 70% _90% .",oto_dien
bonbanh.com,https://bonbanh.com/xe-vinfast-limo-green-at-2026-6835585,VinFast Limo Green AT 2026,610 Triệu,22/06/2026,Vinfast Thăng Long,"Số 68 Trịnh Văn Bô, Phường Phương Canh, Quận Nam Từ Liêm Hà Nội",2026,Xe mới,0 Km,SUV,Trắng,7 chỗ,"VINFAST LIMO GREEN AT 2026 – MPV ĐIỆN 7 CHỖ THẾ HỆ MỚI | VinFast Limo Green AT 2026 là mẫu MPV thuần điện hoàn toàn mới, sở hữu không gian rộng rãi, chi phí vận hành tiết kiệm cùng nhiều công nghệ hiện đại, phù hợp cho gia đình, dịch vụ vận tải và kinh doanh hành khách. | ✓ Thiết kế MPV hiện đại, sang trọng | ✓ Không gian 7 chỗ rộng rãi | ✓ Vận hành hoàn toàn bằng điện, êm ái và thân thiện môi trường | ✓ Màn hình giải trí trung tâm hiện đại | ✓ Điều hòa đa vùng làm mát hiệu quả | ✓ Hệ thống an toàn và hỗ trợ lái tiên tiến | Động cơ điện mạnh mẽ, tăng tốc mượt mà | Chi phí sử dụng và bảo dưỡng thấp | Không gian hành khách rộng rãi, thoải mái cho những hành trình dài | Phù hợp: | ✓ Gia đình đông thành viên | ✓ Kinh doanh dịch vụ vận tải | ✓ Taxi công nghệ, xe hợp đồng | ✓ Đưa đón doanh nghiệp và du lịch | Hỗ trợ trả góp lên đến 80% | Thủ tục nhanh gọn – giao xe toàn quốc | Nhiều ưu đãi hấp dẫn dành cho khách hàng đặt xe sớm | Liên hệ ngay để nhận báo giá tốt nhất và sở hữu VinFast Limo Green AT 2026 – mẫu MPV điện đáng chú ý nhất thị trường!",oto_dien
bonbanh.com,https://bonbanh.com/xe-vinfast-vf5-plus-2026-6829811,VinFast VF5 Plus 2026,439 Triệu,22/06/2026,Vinfast Ngọc Hồi,"215 Ngọc Hồi, Văn Điển, Hoàng Mai Hà Nội",2026,Xe mới,0 Km,SUV,Xanh,5 chỗ,"VinFast VF 5 – xe điện đô thị trẻ trung, tiết kiệm | VinFast VF 5 là mẫu SUV điện cỡ nhỏ với thiết kế năng động, hiện đại, phù hợp di chuyển trong đô thị. Xe vận hành êm ái, tăng tốc mượt, chi phí sử dụng thấp, thân thiện với môi trường. | VF 5 được trang bị màn hình trung tâm lớn, kết nối thông minh, điều hòa tự động, nội thất gọn gàng, thực dụng cùng các tính năng an toàn cơ bản. Kích thước nhỏ gọn giúp xe dễ xoay trở, đỗ xe thuận tiện, đặc biệt phù hợp người mua xe lần đầu, gia đình trẻ hoặc chạy dịch vụ. | Xe mới 100%, chính hãng VinFast, bảo hành theo tiêu chuẩn nhà máy, hỗ trợ trả góp linh hoạt và giao xe nhanh toàn quốc. | Hỗ trợ đăng ký – đăng kiểm | Liên hệ Vinfast Ngọc Hồi để nhận báo giá và lái thử",oto_dien
