reasoning,brand,car_model,imputed_year,imputed_mileage_km,imputed_condition,battery_status,is_accident_free,has_aftermarket_mods,vehicle_type,Link
Không có thông tin mô tả nên không thể xác định bất kỳ thuộc tính nào.,,,,,,,,,,https://bonbanh.com/xe-vinfast-vf5-plus-2026-5722726
Không có thông tin để rút ra các đặc điểm kỹ thuật nào.,,,,,,,,,,https://bonbanh.com/xe-vinfast-vf7-plus-2025-6855285
Chưa có thông tin để rút ra bất cứ điều gì,,,,,,,,,,https://bonbanh.com/xe-vinfast-vf5-plus-2026-6803474
"Không có thông tin nào được cung cấp về xe, vì vậy tất cả các trường giá trị đều không thể xác định.",,,,,,,,,,https://bonbanh.com/xe-vinfast-vf7-plus-awd-2025-6854982
"Văn bản mô tả không có thông tin nào về xe, vì vậy tất cả thông số được trả về là null.",,,,,,,,,,https://bonbanh.com/xe-vinfast-vf9-plus-7s-2025-6833391
"Không có thông tin cụ thể về thương hiệu, mẫu xe, năm sản xuất, tình trạng, quãng đường, pin hoặc các chi tiết khác.",,,,,,,,,,https://bonbanh.com/xe-vinfast-vf6-plus-2023-6808828
Không có thông tin nào được cung cấp trong mô tả.,,,,,,,,,,https://bonbanh.com/xe-ford-mustang-mach-e-premium-awd-2025-6744322
Không có thông tin nào để phân tích,,,,,,,,,,https://bonbanh.com/xe-vinfast-vf5-plus-2026-6796677
No information provided to extract vehicle details.,,,,,,,,,,https://bonbanh.com/xe-vinfast-limo-green-at-2026-6802004
"Không có thông tin mô tả nào về thương hiệu, mẫu xe, năm sản xuất, tình trạng, hay các tính năng khác.",,,,,,,,,,https://bonbanh.com/xe-vinfast-vf3-plus-2026-6479123
No description provided.,,,,,,,,,,https://bonbanh.com/xe-wuling-hongguang-miniev-tieu-chuan-2025-6849120
"Không có thông tin cụ thể nào về xe, không thể xác định thông số",,,,,,,,,,https://bonbanh.com/xe-vinfast-limo-green-at-2026-6836956
"Thông tin không có, không thể xác định các đặc điểm xe.",,,,,,,,,,https://bonbanh.com/xe-vinfast-vf8-plus-2026-6821103
No vehicle information provided.,,,,,,,,,,https://bonbanh.com/xe-vinfast-vf3-plus-2025-6836877
Không có thông tin nào để xác định thông số kỹ thuật của xe.,,,,,,,,,,https://bonbanh.com/xe-vinfast-vf5-plus-2026-6809323
Không có mô tả nào để rút ra thông tin. Tất cả đều null.,,,,,,,,,,https://bonbanh.com/xe-vinfast-vf5-plus-2026-5962875
No keywords provided,,,,,,,,,,https://bonbanh.com/xe-vinfast-limo-green-at-2025-6851781
"Không có thông tin nào về thương hiệu, mẫu xe hay thông số kỹ thuật được cung cấp.",,,,,,,,,,https://bonbanh.com/xe-vinfast-vf8-eco-2026-6819363
Không có thông tin mô tả nào để xác định. Tất cả các trường đều bị thiếu.,,,,,,,,,,https://bonbanh.com/xe-vinfast-vf5-s-2024-6839268
"Không có mô tả chi tiết nào về thương hiệu, mẫu xe, năm sản xuất, tình trạng, hay các thông tin khác, do đó không thể xác định được.",,,,,,,,,,https://bonbanh.com/xe-vinfast-vf3-plus-2025-6743963
Không có thông tin nào để phân tích.,,,,,,,,,,https://bonbanh.com/xe-vinfast-limo-green-at-2026-6717143
No information provided in the description.,,,,,,,,,,https://bonbanh.com/xe-vinfast-vf5-plus-2026-6809316
Không có thông tin để xác định các thông số của xe.,,,,,,,,,,https://bonbanh.com/xe-vinfast-vf8-plus-awd-2026-6839942
"Không có thông tin cụ thể về xe, không thể xác định bất kỳ thông số nào.",,,,,,,,,,https://bonbanh.com/xe-vinfast-vf-e34-at-2022-6740029
"Không có thông tin mô tả nào về xe, không thể suy luận được bất cứ điều gì.",,,,,,,,,,https://bonbanh.com/xe-vinfast-vf8-eco-awd-2023-6810472
No information provided,,,,,,,,,,https://bonbanh.com/xe-vinfast-vf7-eco-2026-6843052
No details provided in the description,,,,,,,,,,https://bonbanh.com/xe-vinfast-vf5-plus-2026-6809319
Dữ liệu không có thông tin nào về xe,,,,,,,,,,https://bonbanh.com/xe-vinfast-vf5-plus-2025-6814507
Không có thông tin cụ thể nào để rút ra đặc điểm kỹ thuật của xe.,,,,,,,,,,https://bonbanh.com/xe-byd-han-ev-2025-6833783
Không có thông tin mô tả.,,,,,,,,,,https://bonbanh.com/xe-vinfast-vf8-eco-awd-2023-6725712
Mô tả không có thông tin gì nên tất cả các trường đều null,,,,,,,,,,https://bonbanh.com/xe-vinfast-vf8-plus-awd-2026-6819423
"Mô tả không có thông tin nào về thương hiệu, mô hình, năm sản xuất, tình trạng, hoặc bất kỳ đặc điểm nào khác.",,,,,,,,,,https://bonbanh.com/xe-vinfast-vf8-plus-awd-2023-6549323
Không có thông tin nào để xác định các thông số kỹ thuật,,,,,,,,,,https://bonbanh.com/xe-vinfast-vf8-plus-awd-2023-6730023
Không có mô tả nào để rút ra thông tin về xe.,,,,,,,,,,https://bonbanh.com/xe-mercedes_benz-eqb-250-2023-6112912
Không có thông tin mô tả cụ thể về xe.,,,,,,,,,,https://bonbanh.com/xe-vinfast-vf6-plus-2026-6736736
Không có thông tin về xe,,,,,,,,,,https://bonbanh.com/xe-vinfast-vf6-plus-2026-6824846
Không có thông tin nào để xác định các thuộc tính của xe.,,,,,,,,,,https://bonbanh.com/xe-vinfast-vf6-eco-2026-6861814
"Không có thông tin mô tả xe, nên không thể xác định bất kỳ thông số nào.",,,,,,,,,,https://bonbanh.com/xe-vinfast-vf9-plus-6s-2025-6851762
No information provided in the description.,,,,,,,,,,https://bonbanh.com/xe-vinfast-vf8-eco-2026-6827584
Không có mô tả nào để xác định các thông tin về xe.,,,,,,,,,,https://bonbanh.com/xe-vinfast-limo-green-at-2026-6769806
Không có thông tin trong phần mô tả.,,,,,,,,,,https://bonbanh.com/xe-vinfast-vf9-plus-6s-2026-6860925
Không có thông tin mô tả nào nên không thể rút ra thông tin cụ thể.,,,,,,,,,,https://bonbanh.com/xe-vinfast-vf3-eco-2026-5613639
"Không có thông tin về thương hiệu, mẫu xe, năm sản xuất, số km đã đi, tình trạng xe, tình trạng pin, có tai nạn hay độ chế.",,,,,,,,,,https://bonbanh.com/xe-vinfast-vf3-plus-2026-6861039
Không có thông tin nào để rút ra đặc điểm kỹ thuật.,,,,,,,,,,https://bonbanh.com/xe-vinfast-vf7-eco-2026-6757724
Không có thông tin nào về xe để rút ra thông số.,,,,,,,,,,https://bonbanh.com/xe-vinfast-limo-green-at-2025-6827950
không có mô tả nào để xác định thông tin về xe,,,,,,,,,,https://bonbanh.com/xe-vinfast-vf3-plus-2025-6821545
No information provided,,,,,,,,,,https://bonbanh.com/xe-vinfast-vf6-s-2024-6859260
Không có thông tin nào để rút ra đặc điểm hoặc tình trạng của xe.,,,,,,,,,,https://bonbanh.com/xe-vinfast-limo-green-at-2026-6689615
Không có mô tả nên tất cả các trường thông tin đều không thể xác định.,,,,,,,,,,https://bonbanh.com/xe-vinfast-vf7-eco-2025-6749413
"Không có thông tin mô tả, không thể xác định thông số nào.",,,,,,,,,,https://bonbanh.com/xe-vinfast-vf5-plus-2026-6736545
Không có thông tin để trích xuất.,,,,,,,,,,https://bonbanh.com/xe-vinfast-vf8-plus-awd-2023-6688613
No details provided.,,,,,,,,,,https://bonbanh.com/xe-vinfast-vf7-plus-2026-6842474
Không có thông tin trong mô tả.,,,,,,,,,,https://bonbanh.com/xe-vinfast-vf8-plus-awd-2023-6824709
No information available in the description.,,,,,,,,,,https://bonbanh.com/xe-vinfast-vf5-plus-2024-6752380
"No information provided, all fields are null.",,,,,,,,,,https://bonbanh.com/xe-mercedes_benz-eqb-250+-2025-6738460
Không có thông tin mô tả về xe.,,,,,,,,,,https://bonbanh.com/xe-vinfast-vf7-plus-awd-2026-6824774
No information provided in the description.,,,,,,,,,,https://bonbanh.com/xe-vinfast-vf3-plus-2026-6689587
"Không có thông tin về thương hiệu, mẫu xe, năm sản xuất, hay các đặc điểm khác.",,,,,,,,,,https://bonbanh.com/xe-vinfast-vf-mpv-7-at-2026-6852955
Không có thông tin mô tả nào về xe.,,,,,,,,,,https://bonbanh.com/xe-vinfast-vf8-eco-awd-2023-6537756
"Không có thông tin nào để xác định các thuộc tính xe, bao gồm nhãn hiệu, mẫu xe, năm sản xuất, km đã đi, tình trạng, trạng thái pin, tình trạng tai nạn, và các biến thể sau khi sản xuất.",,,,,,,,,,https://bonbanh.com/xe-vinfast-vf6-plus-2026-6860868
Không có thông tin để xác định bất kỳ thông số nào.,,,,,,,,,,https://bonbanh.com/xe-vinfast-vf6-eco-2026-6860451
absence of information,,,,,,,,,,https://bonbanh.com/xe-vinfast-limo-green-at-2026-6839243
Thông tin không có sẵn.,,,,,,,,,,https://bonbanh.com/xe-vinfast-vf7-plus-2026-6844823
"Không có thông tin nào để xác định đặc điểm của xe, do đó mọi trường thông tin đều trả về null.",,,,,,,,,,https://bonbanh.com/xe-vinfast-vf6-plus-2025-6822951
Không có thông tin để xác định các thông số của xe.,,,,,,,,,,https://bonbanh.com/xe-vinfast-vf8-eco-awd-2023-6655426
Thiếu thông tin,,,,,,,,,,https://bonbanh.com/xe-vinfast-vf5-plus-2026-6839632
No specific details provided in the description.,,,,,,,,,,https://bonbanh.com/xe-vinfast-minio-green-at-2026-6806653
Không có thông tin chi tiết nào về xe.,,,,,,,,,,https://bonbanh.com/xe-vinfast-vf8-plus-awd-2026-6798786
Không có thông tin nào trong mô tả,,,,,,,,,,https://bonbanh.com/xe-vinfast-vf8-eco-2026-6689465
Không có thông tin cụ thể nào về xe,,,,,,,,,,https://bonbanh.com/xe-vinfast-vf7-plus-awd-2026-6705031
No information provided.,,,,,,,,,,https://bonbanh.com/xe-vinfast-vf-mpv-7-at-2026-6852267
Không có thông tin nào để trích xuất.,,,,,,,,,,https://bonbanh.com/xe-vinfast-limo-green-at-2026-6758863
"Mô tả không có thông tin cụ thể nào về xe, vì vậy không thể xác định bất kỳ thông số nào.",,,,,,,,,,https://bonbanh.com/xe-vinfast-herio-green-at-2026-6801535
"No information provided about the vehicle, all fields must be null.",,,,,,,,,,https://bonbanh.com/xe-vinfast-vf8-plus-2026-6852215
Không có thông tin nào trong mô tả để xác định các thông số cho xe.,,,,,,,,,,https://bonbanh.com/xe-vinfast-vf6-eco-2025-6853588
Không có mô tả nào để rút ra thông tin về xe.,,,,,,,,,,https://bonbanh.com/xe-vinfast-vf3-plus-2025-6752647
Không có thông tin mô tả về xe,,,,,,,,,,https://bonbanh.com/xe-vinfast-vf3-plus-2025-6525281
No information provided in the description.,,,,,,,,,,https://bonbanh.com/xe-vinfast-vf3-plus-2026-6704094
"Không có thông tin nào để rút ra, tất cả giá trị đều là null.",,,,,,,,,,https://bonbanh.com/xe-vinfast-vf8-plus-awd-2023-6852180
No keywords provided in the description to extract any details.,,,,,,,,,,https://bonbanh.com/xe-vinfast-vf8-plus-awd-2023-6851912
Không có thông tin mô tả nên không thể xác định thông số kỹ thuật.,,,,,,,,,,https://bonbanh.com/xe-vinfast-vf8-eco-2026-6811185
Chưa có thông tin nào để xác định các thuộc tính của xe.,,,,,,,,,,https://bonbanh.com/xe-vinfast-vf7-eco-2026-6853198
"Không có thông tin về xe, không thể xác định thương hiệu, mẫu xe, năm và tình trạng.",,,,,,,,,,https://bonbanh.com/xe-vinfast-vf8-plus-awd-2023-6802678
"Không có thông tin nào về thương hiệu, mô hình, tình trạng, pin, tai nạn hay độ hoàn thiện. Tất cả các trường đều null.",,,,,,,,,,https://bonbanh.com/xe-mercedes_benz-g_class-g580-eq-edition-one-2025-6817654
Chưa có thông tin để xác định các thông số xe. Tất cả các trường đều null do thiếu thông tin.,,,,,,,,,,https://bonbanh.com/xe-vinfast-vf8-s-2024-6787245
No keywords provided.,,,,,,,,,,https://bonbanh.com/xe-vinfast-vf8-plus-2026-6835540
Không có thông tin mô tả,,,,,,,,,,https://bonbanh.com/xe-vinfast-vf6-plus-2026-6851741
Thiếu thông tin để xác định các thông số xe.,,,,,,,,,,https://bonbanh.com/xe-vinfast-vf9-plus-6s-2026-6796801
No specific information provided in the description,,,,,,,,,,https://bonbanh.com/xe-vinfast-vf8-eco-awd-2023-6839601
Thiếu thông tin mô tả về xe,,,,,,,,,,https://bonbanh.com/xe-vinfast-limo-green-at-2026-6821189
"Prompt không cung cấp thông tin nào về chiếc xe, do đó không có tên thương hiệu, mẫu xe, năm sản xuất, tình trạng, quãng đường, trạng thái pin hay bất kỳ thông tin nào khác để xác định.",,,,,,,,,,https://bonbanh.com/xe-vinfast-vf5-plus-2026-6801539
Không có thông tin để phân tích.,,,,,,,,,,https://bonbanh.com/xe-vinfast-vf8-plus-awd-2023-6787405
Không có thông tin mô tả về chiếc xe.,,,,,,,,,,https://bonbanh.com/xe-vinfast-vf3-eco-2026-6801514
No provided keywords to extract details.,,,,,,,,,,https://bonbanh.com/xe-vinfast-vf5-plus-2026-6198986
Chưa có thông tin nào để xác định đặc điểm của xe.,,,,,,,,,,https://bonbanh.com/xe-vinfast-vf5-plus-2026-6853049
Không có thông tin để rút ra chi tiết về xe.,,,,,,,,,,https://bonbanh.com/xe-vinfast-vf7-eco-2026-6768435
Không có thông tin nào được cung cấp.,,,,,,,,,,https://bonbanh.com/xe-vinfast-vf3-plus-2026-6811087
"Không có thông tin về xe, không thể trích xuất thông số nào",,,,,,,,,,https://bonbanh.com/xe-vinfast-vf7-plus-awd-2025-6821815
No information provided about the vehicle specifications.,,,,,,,,,,https://bonbanh.com/xe-vinfast-vf5-plus-2024-6852799
Dữ liệu mô tả không có thông tin nào để xác định thông số xe.,,,,,,,,,,https://bonbanh.com/xe-byd-m6-standard-2026-6847120
No information provided in the description.,,,,,,,,,,https://bonbanh.com/xe-vinfast-vf3-plus-2025-6846743
Không có thông tin mô tả,,,,,,,,,,https://bonbanh.com/xe-vinfast-vf3-plus-2026-6839728
"Không có thông tin cụ thể nào về thương hiệu, mẫu xe, năm sản xuất, tình trạng, hay những đặc điểm khác.",,,,,,,,,,https://bonbanh.com/xe-vinfast-vf5-plus-2026-6723845
Không có thông tin mô tả.,,,,,,,,,,https://bonbanh.com/xe-vinfast-limo-green-at-2026-6839818
"Không có thông tin nào về xe, do đó không thể xác định các thông số",,,,,,,,,,https://bonbanh.com/xe-vinfast-vf8-plus-2026-6835562
"Miêu tả không có thông tin cụ thể về xe, tất cả các trường đều là null.",,,,,,,,,,https://bonbanh.com/xe-vinfast-vf8-plus-awd-2023-6727208
Không có thông tin nào về xe trong mô tả.,,,,,,,,,,https://bonbanh.com/xe-vinfast-vf3-plus-2024-6828199
"Không có thông tin mô tả, không thể xác định các thông số",,,,,,,,,,https://bonbanh.com/xe-vinfast-vf3-plus-2026-6839320
"Không có thông tin nào được cung cấp, do đó không thể rút ra thông tin nào.",,,,,,,,,,https://bonbanh.com/xe-vinfast-vf3-plus-2025-6851359
No information provided in the description.,,,,,,,,,,https://bonbanh.com/xe-vinfast-vf3-plus-2025-6748025
"No vehicle information provided, all fields must be null.",,,,,,,,,,https://bonbanh.com/xe-vinfast-limo-green-at-2025-6841525
Không có thông tin nào được cung cấp trong mô tả.,,,,,,,,,,https://bonbanh.com/xe-vinfast-limo-green-at-2026-6829989
Không có thông tin nào để rút ra các thông số xe,,,,,,,,,,https://bonbanh.com/xe-vinfast-vf-mpv-7-at-2026-6814999
"No description provided, unable to extract any information.",,,,,,,,,,https://bonbanh.com/xe-vinfast-vf3-plus-2025-6839080
"Không có thông tin nào để rút ra, tất cả các trường đều null.",,,,,,,,,,https://bonbanh.com/xe-vinfast-limo-green-at-2026-6764016
"Không có thông tin về nhãn hiệu, mẫu xe, năm, hoặc tình trạng",,,,,,,,,,https://bonbanh.com/xe-vinfast-vf8-plus-awd-2024-6699841
"Không có thông tin mô tả về xe, không thể rút ra bất kỳ thông tin nào.",,,,,,,,,,https://bonbanh.com/xe-vinfast-vf8-eco-awd-2023-6833622
Không có thông tin trong mô tả,,,,,,,,,,https://bonbanh.com/xe-vinfast-vf3-eco-2026-6820992
No information provided to extract any specifications.,,,,,,,,,,https://bonbanh.com/xe-vinfast-vf3-plus-2025-6834506
"Không có thông tin về nhãn hiệu, mẫu xe, năm sản xuất, tình trạng, quãng đường, tình trạng pin, tai nạn hay phụ kiện.",,,,,,,,,,https://bonbanh.com/xe-vinfast-vf-mpv-7-at-2026-6704230
"Không có thông tin cụ thể về thương hiệu, mẫu xe, năm sản xuất, tình trạng hay thông số kỹ thuật nào được cung cấp.",,,,,,,,,,https://bonbanh.com/xe-vinfast-vf8-eco-awd-2023-6477005
no details provided,,,,,,,,,,https://bonbanh.com/xe-vinfast-vf3-eco-2026-6857784
Không có thông tin để xác định các thuộc tính xe.,,,,,,,,,,https://bonbanh.com/xe-vinfast-vf8-plus-awd-2023-6531588
no information provided,,,,,,,,,,https://bonbanh.com/xe-vinfast-vf8-plus-awd-2024-6852480
Mô tả không cung cấp thông tin nào về xe.,,,,,,,,,,https://bonbanh.com/xe-vinfast-vf7-plus-2025-6811884
No vehicle information provided.,,,,,,,,,,https://bonbanh.com/xe-vinfast-ec-van-tieu-chuan-2026-6842540
Không có thông tin nào được cung cấp.,,,,,,,,,,https://bonbanh.com/xe-vinfast-ec-van-tieu-chuan-2026-6852288
Không có thông tin nào được đề cập trong mô tả.,,,,,,,,,,https://bonbanh.com/xe-vinfast-vf6-eco-2026-6860852
Không có thông tin để rút ra bất kỳ đặc điểm nào.,,,,,,,,,,https://bonbanh.com/xe-vinfast-vf6-eco-2026-6798813
"Không có thông tin nào về xe để rút trích, nên tất cả các trường đều null.",,,,,,,,,,https://bonbanh.com/xe-vinfast-vf8-eco-awd-2023-6844815
Không có thông tin cụ thể về xe.,,,,,,,,,,https://bonbanh.com/xe-vinfast-vf9-plus-7s-2024-6862713
Không có thông tin nào để phân tích.,,,,,,,,,,https://bonbanh.com/xe-vinfast-limo-green-at-2026-6851333
Không có thông tin mặc định,,,,,,,,,,https://bonbanh.com/xe-vinfast-vf3-plus-2025-6632996
No information provided,,,,,,,,,,https://bonbanh.com/xe-vinfast-vf3-plus-2025-6633813
"No information provided about the vehicle specifications, features, or condition.",,,,,,,,,,https://bonbanh.com/xe-vinfast-vf-mpv-7-at-2026-6723973
No information provided,,,,,,,,,,https://bonbanh.com/xe-vinfast-vf5-plus-2026-6692319
No information provided in the description to extract any specifications.,,,,,,,,,,https://bonbanh.com/xe-vinfast-vf9-plus-7s-2024-6803144
"Không có thông tin nào về xe, không thể xác định các thuộc tính.",,,,,,,,,,https://bonbanh.com/xe-vinfast-vf8-eco-2025-4809745
Thông tin mô tả chưa được cung cấp.,,,,,,,,,,https://bonbanh.com/xe-mercedes_benz-eqs-450-plus-2023-6840759
No information provided in the description.,,,,,,,,,,https://bonbanh.com/xe-vinfast-vf7-eco-2026-6856892
Không có thông tin nào để phân tích,,,,,,,,,,https://bonbanh.com/xe-mercedes_benz-eqe-500-4matic-2023-6463498
"Không có thông tin về thương hiệu, mô hình, năm sản xuất, tình trạng, tình trạng pin, tình trạng tai nạn, hay các mod sau thị trường.",,,,,,,,,,https://bonbanh.com/xe-vinfast-vf9-eco-2026-6819488
"Không có thông tin nào rõ ràng để trích xuất, tất cả các trường đều không xác định.",,,,,,,,,,https://bonbanh.com/xe-vinfast-vf8-plus-awd-2026-6851964
Đã thiếu thông tin để xác định các thông số kỹ thuật của xe.,,,,,,,,,,https://bonbanh.com/xe-vinfast-vf5-plus-2026-6736348
Không có thông tin nào để rút ra ý nghĩa cụ thể.,,,,,,,,,,https://bonbanh.com/xe-vinfast-limo-green-at-2026-6800182
Không có thông tin mô tả về xe.,,,,,,,,,,https://bonbanh.com/xe-vinfast-vf6-plus-2024-6753267
No information provided to extract any vehicle specifications.,,,,,,,,,,https://bonbanh.com/xe-vinfast-vf-mpv-7-at-2026-6857796
Không có thông tin nào để rút ra đặc điểm kỹ thuật của xe.,,,,,,,,,,https://bonbanh.com/xe-vinfast-vf7-plus-awd-2024-6844611
"Không có thông tin về nhãn hiệu, mẫu xe, năm sản xuất, số km đã đi, tình trạng, tình trạng ắc quy, tình trạng không đâm đụng hay độ tùy chỉnh.",,,,,,,,,,https://bonbanh.com/xe-vinfast-vf8-eco-awd-2023-6850246
