Link,imputed_body_style,imputed_seats,imputed_exterior_color,imputed_location,imputed_year,imputed_mileage_km,imputed_condition
https://xe.chotot.com/mua-ban-xe-dap/132835706.htm,,,Đen,,,1000.0,Đã qua sử dụng
https://xe.chotot.com/mua-ban-xe-dap/132274794.htm,,,,"Bình Hưng Hoa Quân, Bình Tân",,,Mới 100%
https://xe.chotot.com/mua-ban-xe-dap/132820788.htm,,,,,,,
https://xe.chotot.com/mua-ban-xe-dap/132569418.htm,,,,HƯƠNG LÔ 3.PHƯỜNG BÌNH HƯNG HOA QUÂN BÌNH TÂN,,,Mới 100%
https://xe.chotot.com/mua-ban-xe-dap/132771885.htm,,,Hồng be,,,,Đã qua sử dụng
https://xe.chotot.com/mua-ban-xe-dap/132775466.htm,,,,Hương Lô 3.phường bình hưng hoa quân bình tân,,,Mới 100%
https://xe.chotot.com/mua-ban-xe-dap/132745482.htm,,,xám,,,,
https://xe.chotot.com/mua-ban-xe-dap/132586716.htm,,,,Bình Tân,,,
https://xe.chotot.com/mua-ban-xe-dap/132722075.htm,,,,,,,Mới 100%
https://xe.chotot.com/mua-ban-xe-dap/132682367.htm,null,,Đa màu,,,,
https://xe.chotot.com/mua-ban-xe-dap/132693042.htm,Điện,3.0,Hồng trắng,"Khu Sao Mai Phú Hữu, Xã Phú Hoà, Tỉnh An Giang",,,Đã qua sử dụng
https://xe.chotot.com/mua-ban-xe-dap/132699009.htm,,,,539/15 HƯƠNG LÔ 3.PHƯỜNG BÌNH HƯNG HOA QUÂN BÌNH TÂN,,,Mới 100%
https://xe.chotot.com/mua-ban-xe-dap/132126569.htm,,,,539/15 HƯƠNG LÔ 3.PHƯỜNG BÌNH HƯNG HOA QUÂN BÌNH TÂN,,,Mới 100%
https://xe.chotot.com/mua-ban-xe-dap/132454063.htm,,,"Đen, Đỏ",thủ dầu hcm,,,Mới 100%
https://xe.chotot.com/mua-ban-xe-dap/132401721.htm,null,,Trắng,,,,Mới 100%
https://xe.chotot.com/mua-ban-xe-dap/132656806.htm,,,Xám,tphcm,,,Đã qua sử dụng
https://xe.chotot.com/mua-ban-xe-dap/132603979.htm,,,,,,,
https://xe.chotot.com/mua-ban-xe-dap/132650185.htm,,,,539/15 HƯƠNG LÔ 3.PHƯỜNG BÌNH HƯNG HOA QUÂN BÌNH TÂN,,,Mới 100%
https://xe.chotot.com/mua-ban-xe-dap/132578544.htm,,,Đen,Q7 HCM,,,Đã qua sử dụng
https://xe.chotot.com/mua-ban-xe-dap/132553262.htm,Xe đạp điện,,Xanh mint,,,,Đã qua sử dụng
https://xe.chotot.com/mua-ban-xe-dap/132535452.htm,Xe đạp điện,,Xanh nhạt,,,10000.0,Đã qua sử dụng
https://xe.chotot.com/mua-ban-xe-dap/132583789.htm,,,,Hà Nội,,80.0,
https://xe.chotot.com/mua-ban-xe-dap/131410673.htm,,,,Hà Nội,,,Mới 100%
https://xe.chotot.com/mua-ban-xe-dap/132575456.htm,,,Hồng - Cam,"Khu Tên Lửa, Bình Tân, TP.HCM",,0.0,Mới 100%
https://xe.chotot.com/mua-ban-xe-dap/132510028.htm,,,Xám,,,100.0,Đã qua sử dụng
https://xe.chotot.com/mua-ban-xe-dap/132300253.htm,,,,BÌNH TÂN,,,
https://xe.chotot.com/mua-ban-xe-dap/132453837.htm,,,,Thủ Dầu Hcm,,,Mới 100%
https://xe.chotot.com/mua-ban-xe-dap/132490272.htm,,,,LH 539/15 HƯƠNG LÔ 3.PHƯỜNG BÌNH HƯNG HOA QUÂN BÌNH TÂN,,,
https://xe.chotot.com/mua-ban-xe-dap/132393177.htm,,,,,,,
https://xe.chotot.com/mua-ban-xe-dap/132374972.htm,,,Trắng,,,100000.0,
https://xe.chotot.com/mua-ban-xe-dap/132337533.htm,,,,,,,
https://xe.chotot.com/mua-ban-xe-dap/132470425.htm,,,Đỏ,,,,Đã qua sử dụng
https://xe.chotot.com/mua-ban-xe-dap/132383438.htm,,,đen đỏ,,,,
https://xe.chotot.com/mua-ban-xe-dap/132392007.htm,,,Đỏ,,,,Đã qua sử dụng
https://xe.chotot.com/mua-ban-xe-dap/132350591.htm,,,Xám,"Ngọc Hà, Hà Nội",,1000.0,Đã qua sử dụng
https://xe.chotot.com/mua-ban-xe-dap/132373659.htm,null,,xanh lá,,,,
https://xe.chotot.com/mua-ban-xe-dap/132309077.htm,,,,,,1100.0,Mới 100%
https://xe.chotot.com/mua-ban-xe-dap/132313202.htm,,,Đỏ,,,,
https://xe.chotot.com/mua-ban-xe-dap/132263162.htm,,,,"14 Trần Kế Xương, Hải Châu, Đà Nẵng",,,
https://xe.chotot.com/mua-ban-xe-dap/132320713.htm,Xe đạp điện,,Xám,"ấp rừng dầu, xã bến cầu tỉnh tây ninh (xã tiên thuận cũ)",,,
https://xe.chotot.com/mua-ban-xe-dap/132236268.htm,null,,Xám,,,,
https://xe.chotot.com/mua-ban-xe-dap/132243406.htm,,,,,,,
https://xe.chotot.com/mua-ban-xe-dap/130962456.htm,,,Đen,,,,
https://xe.chotot.com/mua-ban-xe-dap/132227667.htm,,,đen,,,,
https://xe.chotot.com/mua-ban-xe-dap/132158292.htm,,,Xám,,,,Đã qua sử dụng
https://xe.chotot.com/mua-ban-xe-dap/129205559.htm,Xe điện,,xám,gần chợ Thới Tứ Hóc Môn,,,Mới 100%
https://xe.chotot.com/mua-ban-xe-dap/132135228.htm,Xe đạp điện,,Xám,tphcm,,2800.0,Đã qua sử dụng
https://xe.chotot.com/mua-ban-xe-dap/132033281.htm,,,,Sa Đéc,2026.0,,Mới 100%
https://xe.chotot.com/mua-ban-xe-dap/132110291.htm,null,,đỏ,,,,
https://xe.chotot.com/mua-ban-xe-dap/132081051.htm,,,,,,,Đã qua sử dụng
