id,reasoning,brand,car_model,imputed_year,imputed_mileage_km,imputed_condition,battery_status,is_accident_free,has_aftermarket_mods,vehicle_type
29,"sở hữu vẻ ngoài khá bắt mắt với những đường nét vuông vắn, cá tính",VinFast,VF6 Plus,2026.0,0.0,Mới 100%,,,True,
30,VinFast VF9 Eco 2026,,,,,Đã qua sử dụng,,,True,
31,BÁN GẤP – GIÁ SỐC KHÔNG TƯỞNG (đã áp các loại km) | VF8 bản Eco – SX 2022 | Đi chuẩn 6 vạn km,VinFast,VF8 Eco,2022.0,60000.0,Đã qua sử dụng,,False,True,
32,"xuất hiện ngoại hình nhỏ gọn, kích thước, trọng lượng không tải, dung lượng pin, tiêu chuẩn NEDC, công suất động cơ, mô men xoắn, thời gian tăng tốc",,VF5 Plus,2026.0,0.0,Mới 100%,Mua pin,,False,
33,"mình đang có sẵn, giao ngay, hỗ trợ ra biển vàng",VinFast,Limo Green,2026.0,0.0,Mới 100%,Thuê pin,,True,
34,"mua pin, tư nhân chính chủ, từ mới biển Hà Nội, đã lên cốp điện",VinFast,VF6 Plus,2024.0,30000.0,Đã qua sử dụng,Mua pin,True,True,
35,đổi xe xăng sang xe điện giảm trực tiếp tiền mặt,,VF8 Plus AWD,2023.0,35000.0,Đã qua sử dụng,Mua pin,,True,
36,"xuất hiện ngoại hình nhỏ gọn, kích thước, trọng lượng không tải, dung lượng pin, công suất động cơ, mô men xoắn, thời gian tăng tốc",,VF5 Plus,2026.0,0.0,Mới 100%,Mua pin,,False,
37,VinFast VF9 Eco 2026,,,,,Đã qua sử dụng,,,True,
38,"VinFast VF8 Plus AWD, kích thước tổng thể, chiều dài cơ sở, trang bị như bộ mâm, tay nắm cửa, gương chiếu hậu tích hợp sấy và camera, thông tin hiển thị trên HUD, điều hòa tự động, cửa gió điều hòa cho hàng ghế sau, bơm nhiệt, chức năng kiểm soát chất lượng không khí, lọc không khí cabin HEPA 1.0",,VF8 Plus AWD,2026.0,0.0,Mới 100%,,,True,
39,"dạng về, odo hơn 1v km mua đứt Pin miễn sạc hết 2028, phiên bản được biệt limited có Adas, lên thảm 6D siêu xịn xò dán fim cách nhiệt cao cấp, bao check mọi nơi theo yêu cầu",VinFast,VF7 S,2024.0,,Đã qua sử dụng,Mua pin,,True,
40,Ưu đãi giám giá 120 triệu + bảo hiểm thân vỏ • Giảm 70 triệu khi đổi xăng sang điện • Tặng 50 triệu tiền mặt,,VF8 Eco AWD,2023.0,0.0,Mới 100%,,True,False,
41,"+ ̵ ̃ ́ ̣̆ ̣ |Ngoại thất Đỏ, nội thất Đen | Odo: 4000 km",Mercedes Benz,EQS 450 Plus,2023.0,4000.0,Đã qua sử dụng,,,True,
42,THÔNG SỐ KỸ THUẬT CƠ BẢN Ô TÔ VAN VINFAST EC VAN,,EC Van,2026.0,0.0,Mới 100%,Mua pin,,False,
43,"Khuyến Mãi Cực Hot Trong Tháng, Sẵn xe giao ngay, Thuế trước bạ 0%",VinFast,Limo Green,2025.0,0.0,Mới 100%,,,False,
44,"xuất hiện ngoại hình nhỏ gọn, kích thước, trọng lượng không tải, dung lượng pin, công suất động cơ, mô men xoắn, thời gian tăng tốc",,VF5 Plus,2026.0,0.0,Mới 100%,Mua pin,,False,
45,"Ford Mustang Mach-E Premium AWD, 550km quãng đường di chuyển, 88 kWh dung lượng pin",Ford,Mustang Mach-E,2025.0,0.0,Mới 100%,Mua pin,,False,
46,"Excellente qualité, longue autonomie, équipements haut de gamme",Mercedes-Benz,EQS 580 4Matic,2023.0,31000.0,Đã qua sử dụng,,True,True,
47,dky 2025 thuê pin đã lên gần 3 chục tiền đồ độ lăn bánh có 9000km,,VF3 Plus,2024.0,9000.0,Đã qua sử dụng,Thuê pin,,True,
48,"không chỉ là xe, mà là đẳng cấp của người dẫn đầu",VinFast,VF9 Plus,2026.0,0.0,Mới 100%,Pin catl phiên bản mới,,True,
49,bán vf3 sx 2025 siêu mới màu trắng,VinFast,VF3 Plus,2025.0,0.0,Mới 100%,Mua pin,True,False,
50,đại lý xe đã qua sử dụng | sơn zin 100% | nội thất mới 100%,VinFast,VF8 S,2024.0,24.0,Đã qua sử dụng,Mua pin,True,False,
51,THÔNG SỐ KỸ THUẬT CƠ BẢN Ô TÔ VAN VINFAST EC VAN,,EC Van,2026.0,0.0,Mới 100%,Mua pin,,False,
52,ODO 30 KM! | Nhập khẩu nguyên chiếc | Xe mới 100% chưa qua sử dụng,Mercedes-Benz,EQB 250,2023.0,0.0,Mới 100%,,True,False,
53,AUTO CHỐT HÀ NỘI MỞ BÁN | Nhập Team Nguyên Xe Mộc Hongqi E-HS9 Premium 6S sản xuất 2022 1 chủ từ đầu chạy siêu lướt 3vạn2km,Hongqi,E-HS9 Premium,2022.0,32000.0,Đã qua sử dụng,,,False,
54,"mua pin, đi được 1.5 vạn, xe độ",VinFast,VF3 Plus,2025.0,15000.0,Đã qua sử dụng,Mua pin,,True,
55,#Hongqi E-HS9 Premium 6S sản xuất 2022 1 chủ từ đầu chạy siêu lướt 3v2 km,Hongqi,E-HS9 Premium,2022.0,,Đã qua sử dụng,Mua pin,False,False,
56,"mua pin, odo 1v8 km, bản 7 ghế",VinFast,VF9 Plus,2025.0,10800.0,Đã qua sử dụng,Mua pin,,True,
57,"thuế trước bạ 0% tới 2027 | Xe có sẵn, giao ngay | Quảng đường di chuyên lên tới 700km. | Bảo ha̅nh 3 năm, Bâo ha̅nh pin 10 năm.",Mercedes Benz,EQS 580 4Matic,2023.0,,Đã qua sử dụng,Thuê pin,,False,
58,đổi xe xăng sang xe điện giảm trực tiếp tiền mặt,,VF8 Plus AWD,2023.0,50000.0,Đã qua sử dụng,Mua pin,,True,
59,"trang bị động cơ 100kw, pin dung lượng 60kwh, trọng lượng nhẹ hơn, quãng đường di chuyển tối đa 399 km",,,2026.0,0.0,Mới 100%,Mua pin,,False,
60,"GIÁO XE NGAY, ĐỦ MÀU LỰA CHỌN! | TRẢ TRƯỚC CHỈ TỪ 299 TRIỆU | FREE sạc tới 2027",,VF9,,,Đã qua sử dụng,Mua pin,False,False,
61,"sở hữu vẻ ngoài khá bắt mắt với những đường nét vuông vắn, cá tính",VinFast,VF6 Plus,2026.0,0.0,Mới 100%,,,True,
62,"AUTO CHỐT HÀ NỘI MỞ BÁN, Nhập Team Nguyên Xe Mộc Porscher Taycan sản xuất 2021",Porsche,Taycan,2021.0,21000.0,Đã qua sử dụng,,False,True,
63,xem xét thông số kỹ thuật và chính sách ưu đãi,VinFast,VF9 Eco,,0.0,Mới 100%,Mua pin,,True,
64,miễn phí sạc pin đến HẾT T06/2027 (Không giới hạn) – Chạy xe không lo chi phí nhiên liệu,VinFast,VF5 Plus,2025.0,0.0,Mới 100%,Mua pin,,False,
65,VF3 qua sử dụng | Xem xe tại : GF Nam Thái Bình Dương,,VF3 Plus,,,Đã qua sử dụng,Mua pin,,False,
66,GIÁ CHỈ TỪ 50 TRIỆU ? | Ưu đãi độc quyền trong tháng,VinFast,VF3 Plus,2026.0,0.0,Mới 100%,Mua pin,,True,
67,đổi xe xăng sang xe điện giảm trực tiếp tiền mặt lên đến 70tr,VinFast,VF8 Plus AWD,2023.0,35000.0,Đã qua sử dụng,Mua pin,,True,
68,"giao ngay, đủ màu lựa chọn, ưu đãi đặc biệt",VinFast,VF6,,,Đã qua sử dụng,Mua pin,,True,
69,"giảm 70 triệu khi đổi xăng sang điện, tặng 50 triệu tiền mặt, miễn phí bảo hiểm thân vỏ, không đâm đụng, không ngập nước, không bổ máy, không cẩu máy",VinFast,VF8 Eco AWD,2023.0,0.0,Mới 100%,,True,False,
70,Full ADAS | Chính sách bán hàng ưu việt,VinFast,VF8 Eco,2023.0,0.0,Mới 100%,,,True,
71,"VinFast VF8 Plus AWD, kích thước tổng thể, chiều dài cơ sở, trang bị như bộ mâm, tay nắm cửa, gương chiếu hậu tích hợp sấy và camera, thông tin hiển thị trên HUD, điều hòa tự động, cửa gió điều hòa cho hàng ghế sau, bơm nhiệt, chức năng kiểm soát chất lượng không khí, lọc không khí cabin HEPA 1.0",,VF8 Plus AWD,2026.0,0.0,Mới 100%,,,True,
72,VF8 Eco Pin CATL 2023 | Màu đỏ | Odo : 48.000 km | Đã qua kiểm tra 139 bước Theo tiêu chuẩn GF,VinFast,VF8 Eco AWD,2023.0,48000.0,Đã qua sử dụng,Mua pin,True,False,
73,Herio Green Vin 2025. Xe mới,,,,0.0,Mới 100%,,,True,
74,"đánh giá cao về thiết kế, công nghệ, tiện nghi, khả năng vận hành, mô-tơ điện, hệ dẫn động 4 bánh, di chuyển quãng đường tối đa",VinFast,VF7 Plus,2026.0,0.0,Mới 100%,Mua pin,,True,
75,"Miễn phí 100% phí trước bạ, Gói quà tặng 10 triệu đồng, Hỗ trợ vay 80%",VinFast,VF3 Plus,2025.0,0.0,Mới 100%,,,False,
76,"31 VF8 PLUS ,2 cầu đi 4v1 – GIÁ CỰC NGON NHẤT THỜI ĐIỂM NÀY! | Giá trên đã kền pin, Full ưu đãi – quà tặng",,VF8 Plus AWD,2023.0,,Đã qua sử dụng,Mua pin,,False,
77,ODO HƠN 5 VẠN – XE ĐẸP LOẠI 1,VinFast,VF8 Eco,2023.0,50000.0,Đã qua sử dụng,,,False,
78,"màu vàng cam cực hiếm, chạy chuẩn 39.000 km",VinFast,VF8 Plus AWD,2023.0,39000.0,Đã qua sử dụng,,,False,
79,"màu Trắng QUYỀN LỰC, giá giảm 130, đi rất đầm",VinFast,VF8 Plus AWD,2023.0,65000.0,Đã qua sử dụng,,,True,
80,"sang trọng bề thế, tiện nghi cao cấp",VinFast,VF9 Plus,2025.0,0.0,Mới 100%,,,True,
81,VF8 ECO ĐỜI 2023 – TRẮNG .,VinFast,VF8 Eco,2023.0,0.0,Mới 100%,,,True,
82,LUÔN CÓ SẴN XE VÀ HỒ SƠ - GIAO NGAY,,Limo Green AT,,0.0,Mới 100%,Thuê pin,,True,
83,LUÔN CÓ SẴN XE VÀ HỒ SƠ - GIAO NGAY,,Limo Green AT,,0.0,Mới 100%,Thuê pin,,True,
84,LUÔN CÓ SẴN XE VÀ HỒ SƠ - GIAO NGAY,,Limo Green AT,,0.0,Mới 100%,Thuê pin,,True,
85,"sx 2024, odo 2.4vkm, an toàn 6 túi khí, ADAS, màn hình 8 inch, hỗ trợ CarPlay/Android Auto và trợ lý ảo thông minh, động cơ hộp số nguyên bản",VinFast,VF5 Plus,2024.0,24000.0,Đã qua sử dụng,,True,False,
86,"odo 1v9 km - biển tỉnh, ko dịch vụ - không thủy kích ngập nước - không tai nạn ảnh hưởng khung gầm sắt si",VinFast,VF5 Plus,2024.0,1900.0,Đã qua sử dụng,,True,False,
87,#VF9 HOẢ LONG ĐỘC BẢN ️ XÁM TITAN LUXURY ️ free sạc gần 3 năm tới 1-1-2029 | Màu Xám Titan nội thất nâu da bò cực đẹp,VinFast,VF9 Plus,2024.0,9000.0,Đã qua sử dụng,Mua pin,,True,
88,"Giảm 70 triệu khi đổi xăng sang điện, tặng 50 triệu tiền mặt, miễn phí bảo hiểm thân vỏ, không đâm đụng, không ngập nước",,VF8 Plus AWD,2023.0,0.0,Mới 100%,,True,False,
89,GIÁ CỰC NGON NHẤT THỜI ĐIỂM NÀY! | Full ưu đãi – Full khuyến mãi – Full quà tặng,VinFast,VF8 Plus AWD,2024.0,0.0,Mới 100%,,,True,
90,"2026, mới 100%",VinFast,VF8 Eco,2026.0,0.0,Mới 100%,,,True,
91,"sx 2023, đổi xe xăng sang điện giảm thêm, đã qua 139 bước check của GF, xe ngon có đảm bảo",VinFast,VF8 Eco,2023.0,,Đã qua sử dụng,Mua pin,True,False,
92,giao NGAY - BÁN TOÀN QUỐC | + Tặng sạc miễn phí lên tới 3 năm | + Miễn 100% lệ phí trước bạ,VinFast,VF3 Plus,2026.0,0.0,Mới 100%,,,True,
93,"miễn phí 100% phí trước bạ, hỗ trợ vay 80%",VinFast,VF5 Plus,,0.0,Mới 100%,,,True,
94,"trang bị động cơ 100kw, pin dung lượng 59,6 kWh, quãng đường di chuyển tối đa 399 km",VinFast,VF6 Eco,2026.0,0.0,Mới 100%,Mua pin,,False,
95,"sở hữu thiết kế hiện đại, trẻ trung, cá tính",VinFast,Herio Green,2026.0,0.0,Mới 100%,,,True,
96,"CƠ HỘI SỞ HỮU XE ĐIỆN CÔNG NGHỆ TƯƠNG LAI - GEELY EX5 PHIÊN BẢN MAX (CAO CẤP NHẤT) | Màu sắc: Trắng tinh khôi – Sang trọng, hiện đại. | Tình trạng: Xe mới 100%",,EX5 Max,2025.0,,Xe mới 100%,Mua pin,,True,
97,Khuyến Mãi Cực Hot Trong Tháng | Sẵn xe giao ngay | Thuế trước bạ 0% | Hỗ trợ vay 90% giá trị xe,VinFast,Limo Green,2025.0,0.0,Mới 100%,,,True,
98,"màu xanh, không đâm đụng, ngập nước, máy móc nguyên bản",VinFast,VF8 Plus AWD,2023.0,48000.0,Đã qua sử dụng,,True,False,
99,VinFast VF9 Eco 2026,,,2026.0,,,,,True,
100,THĂNG LONG CAR - THẾ GIỚI XE VINFAST LƯỚT xin kính chào quý khách hàng ! | Chúng tôi xin trân trọng giới thiệu đến quý khách hàng mẫu xe. | -Hãng xe: Vinfast | -Loại xe : Vinfast VF8 Eco 2022 thuê pin tiên phong | -Phiên bản : bản Eco | -Màu xe : Ngoại thất màu bạc- đen | - Số km: 5v km | - Năm sx :2022,VinFast,VF8 Eco,2022.0,5000.0,Đã qua sử dụng,Thuê pin,True,False,
101,"LIMO GREEN, không gian rộng rãi, tăng kết nối cả gia đình",VinFast,Limo Green,2026.0,0.0,Mới 100%,Mua pin,,True,
102,"duy nhất, sẵn hồ sơ luôn và ngay, pin mua",VinFast,VF8 Eco AWD,2024.0,24000.0,Đã qua sử dụng,Mua pin,,False,
103,cảm ứng thay thế nút bấm vật lý vô lăng D-cut bọc da tích hợp nhiều phím chức năng,VinFast,VF8 Eco,2023.0,5000.0,Đã qua sử dụng,,,True,
104,"odo 90km siêu lướt, không đâm đụng, ngập nước",,VF8 Plus AWD,2025.0,0.0,Mới 100%,,True,False,
105,"sản xuất 2025, chạy 5km",VinFast,VF3 Plus,2025.0,0.0,Mới 100%,,,True,
106,#Vinfast_VF5 + Kèm Pin,VinFast,VF5 Plus,,,Đã qua sử dụng,Mua pin,,False,
107,chạy 2v8 km bản 6 ghế ngồi,Hongqi,E-HS9,2022.0,20000.0,Đã qua sử dụng,,,False,
108,"giao xe ngay, đủ màu lựa chọn",VinFast,VF9 Plus,2026.0,0.0,Mới 100%,,,True,
109,"full ADAS, mua pin SDI, miễn phí sạc đến 2027",VinFast,VF8 Plus AWD,2022.0,,Đã qua sử dụng,Mua pin,,True,
110,"giao xe ngay, đủ màu lựa chọn, trả trước chỉ từ 299 triệu",VinFast,VF9 Eco,2025.0,0.0,Mới 100%,"Thu xăng CŨ, ĐỔI xe điện",,False,
111,sx 2024,VinFast,VF6 Plus,2024.0,37000.0,Đã qua sử dụng,,,False,
112,"- Bảo hiệnh, bảo dưỡng, cam kết mọi tie̳u chuả̳n vè̲ xe. - Quý khả̳ch hà̳ng an tả̳m",VinFast,VF8 Plus AWD,2023.0,47801.0,Đã qua sử dụng,,False,False,
113,VinFast VF8 Plus Pin SDI - Đổi xe xăng sang xe điện giảm trực tiếp tiền mặt,VinFast,VF8 Plus AWD,2022.0,43000.0,Đã qua sử dụng,Mua pin,,False,
114,"sx 2025, full option cao cấp, bảo dưỡng định kỳ, không lỗi, thủ tục sang tên nhanh gọn",VinFast,VF3 Plus,2025.0,0.0,Mới 100%,,,True,
115,ƯU ĐÃI LÊN ĐẾN 53 TRIỆU ĐỒNG,Volvo,EC40 Ultra,2025.0,0.0,Mới 100%,,,False,
116,"giao xe ngay, đủ màu lựa chọn",VinFast,VF9 Plus,2026.0,0.0,Mới 100%,,,True,
117,ƯU ĐÃI GIẢM 30 TRIỆU | Tặng 100% Lệ phí trước bạ | Miễn phí sạc 2.5 năm,VinFast,Herio Green AT,2025.0,0.0,Mới 100%,Mua pin,,True,
118,"mới về, thuê pin, màu xám nội thất nâu da bò",VinFast,VF8 Plus AWD,2022.0,0.0,Mới 100%,Thuê pin,,True,
119,"kích thước tổng thể, chiều dài cơ sở, trang bị hệ thống thông tin giải trí, hệ thống điều hòa tự động",VinFast,VF9 Plus,2026.0,0.0,Mới 100%,,,True,
120,"chiếc xe điện đỉnh cao, sở hữu cực kỳ kỳ diệu",VinFast,VF6 Plus,2025.0,0.0,Mới 100%,Mua pin,,False,
121,"Giao xe ngay, đủ màu lựa chọn!",VinFast,VF9 Plus,2026.0,0.0,Mới 100%,,,True,
122,"sở hữu xe 0đ, mỗi tháng trả cố định 10tr6/tháng trong 5 năm",VinFast,VF5 Plus,2025.0,,Đã qua sử dụng,,False,False,
123,"màu vàng, giảm tiền, hỗ trợ trả góp, cam kết chuẩn odo, không đâm đụng, không thuỷ kích",VinFast,VF3 Plus,2024.0,12000.0,Đã qua sử dụng,,True,False,
124,VF3 xám 2024 thuê pin odo 10000 km,VinFast,VF3 Plus,2024.0,10000.0,Đã qua sử dụng,Thuê pin,,True,
125,"zin auto chào bán, xịn 100%, chính hãng đã qua kiểm tra",VinFast,VF8 Eco AWD,2023.0,0.0,Mới 100%,,True,False,
126,"mua pin, chạy cực ít, máy móc khung gầm nguyên bản",VinFast,VF8 Plus AWD,2023.0,26000.0,Đã qua sử dụng,Mua pin,,True,
127,"mạnh liệt tinh thần Việt Nam, xăng sang điện, hỗ trợ lãi suất nh",VinFast,VF3 Plus,2025.0,0.0,Mới 100%,Thuê pin,,True,
128,VinFast VF9 Eco,,,,,Đã qua sử dụng,,,True,
129,"mua pin, chưa qua sử dụng, mới 99.99%",VinFast,VF3 Plus,2025.0,0.0,Mới 100%,Mua pin,False,True,
130,cho thuê giá ưu đãi ae đăng bài truyền thông,VinFast,Limo Green,2025.0,0.0,Mới 100%,Thuê pin,,False,
131,#Vinfast_VF3 + Kèm Pin | SẴN XE SẴN MÀU GIAO NGAY,VinFast,VF3 Plus,2025.0,0.0,Mới 100%,Thuê Pin,,True,
132,GIÁ TỐT SAU ƯU ĐÃI ️ | Xe vận hành ổn định | Áp dụng đầy đủ chính sách GF / xăng đổi điện,VinFast,VF8 Plus AWD,2023.0,62000.0,Đã qua sử dụng,Pin CATL,,False,
133,"Giao xe ngay, đủ màu lựa chọn! | Trang bị: hệ thống thông tin giải trí với màn hình cảm ứng cỡ lớn 15,6 inch, hỗ trợ kết nối điện thoại, dàn âm thanh 13 loa, cổng kết nối USB loại C, đèn trang trí nội thất đa màu... | Hệ thống điều hòa tự động 2 vùng đi kèm cửa gió điều hòa cho hàng ghế sau",VinFast,VF9 Plus,2026.0,0.0,Mới 100%,,,True,
134,"LIMO GREEN, không gian rộng rãi, tăng kết nối cả gia đình",,Limo Green,,0.0,Mới 100%,Mua pin,,False,
135,"Sản xuất 2023, màu xanh dương, không đâm đụng, không ngập nước",VinFast,VF8 Eco,2023.0,33000.0,Đã qua sử dụng,,True,False,
136,vui lòng liên hệ Hotline,VinFast,VF8 Eco AWD,2024.0,24070.0,Đã qua sử dụng,Mua pin,,False,
137,"mới 100%, chưa lăn bánh",VinFast,VF3 Plus,2025.0,0.0,Mới 100%,,,False,
138,sx 2024 xe bản 7 chỗ trần thép odo 21.000 km 1 chủ mua từ mới,VinFast,VF9 Plus,2024.0,21000.0,Đã qua sử dụng,Mua pin,,False,
139,"- Bảo hiểm, bảo dưỡng, cam ke̊̂t mọi tie̲̅u chuả̳n vè̲ xe. - Quý kha̓̂ch hâ̕ng an tā̤m",VinFast,VF8 Plus AWD,2023.0,48506.0,Đã qua sử dụng,,False,False,
140,"di chuyển linh hoạt trong nội đô, thiết kế nhỏ gọn, dễ dàng luồn lách trong phố đông, đỗ xe “chuẩn từng milimet”, quãng đường lên đến 170km/lần sạc, cắm sạc buổi tối, sáng dậy có ngay ""full pin"", cực kỳ tiện lợi, bảo hành pin 5 năm hoặc 120.000km, thân vỏ 3 năm hoặc 100.000km",,Xiaoma,,0.0,Mới 100%,Mua pin,,False,
141,"new 100%, chính hãng",VinFast,VF9 Plus,2025.0,0.0,Mới 100%,,,True,
142,"zin Auto chào bán, xe còn rất mới, cam kết xe không đâm và không ngập nước",VinFast,VF8 Eco AWD,2023.0,0.0,Mới 100%,,True,False,
143,"chiếc xe điện đỉnh cao, lái là mê, sở hữu cực kỳ kỳ diệu",VinFast,VF6 Plus,2025.0,0.0,Mới 100%,Mua pin,,False,
144,vinfast vf8 eco pin sdi,,,2023.0,3500.0,Đã qua sử dụng,Mua pin,,False,
145,"Giao xe ngay, đủ màu lựa chọn!",,VF9 Plus,2026.0,0.0,Mới 100%,,,True,
146,"mua pin, chưa qua sử dụng, mới 99.99%",VinFast,VF3 Plus,2025.0,0.0,Mới 100%,Mua pin,False,True,
147,"Cốp điện có đá cốp, Led Vinfast, Loa Treble, Dán kính luma",VinFast,VF5 Plus,2025.0,13000.0,Đã qua sử dụng,,,True,
148,VinFast VF9 Eco 2026,,,,,Đã qua sử dụng,,,True,
149,"odo 13.000km, không đâm đụng, ngập nước",,VF7 Plus AWD,2025.0,13000.0,Đã qua sử dụng,,True,False,
150,"sản xuất 2025, chạy 5km",VinFast,VF3 Plus,2025.0,0.0,Mới 100%,,,True,
151,#Vinfast_VF3 + Kèm Pin | SẴN XE SẴN MÀU GIAO NGAY,VinFast,VF3 Plus,2025.0,0.0,Mới 100%,Thuê Pin,,True,
152,Vinfast Vf8 ECO pin SDI,VinFast,VF8 Eco AWD,2023.0,5600.0,Đã qua sử dụng,Mua pin,,False,
153,Pin CATL (Nhóm 1) | Đen | Nội thất đen thể thong | Odo: 3.8 vạn km,VinFast,VF8 Eco,2023.0,38000.0,Đã qua sử dụng,Mua pin,,True,
154,"sản xuất 2025, miễn phí sạc hết 12/2027, mua đứt pin, ít việc cần tiền nên bán, nội thất còn rất mới, xe độ đèn led, gập gương điện, dán phim cách nhiệt, sàn da, cam hành trình, chắn cốp, lót cốp, rèm che nắng, hộc để cốc nước",VinFast,VF5 Plus,2025.0,50000.0,Đã qua sử dụng,Mua pin,,True,
155,"mã hàng mới về, chạy 4v full lịch sử hãng ko taxi dịch vụ",VinFast,VF6 Plus,2025.0,0.0,Mới 100%,,False,False,
