id,reasoning,brand,model,imputed_year,imputed_mileage_km,has_aftermarket_mods
41,Range per charge mentioned (about 20km). Brand: not specified. Model: not specified. Imputed_year: null. Imputed_mileage_km: null. Has_aftermarket_mods: false.,,,,,False
42,Battery and charger included as described; no explicit brand/model; Imputed_year: null; Imputed_mileage_km: null; Has_aftermarket_mods: false.,,,,,False
43,Brand detected: Yadea. Model detected: E2 Hola. Imputed_year: null. Imputed_mileage_km: null. Has_aftermarket_mods: false.,Yadea,E2 Hola,,,False
44,Brand detected: Yadea. Model detected: X8. Imputed_year: null. Imputed_mileage_km: null. Used status noted; no aftermarket mods.,Yadea,X8,,,False
45,Brand: not specified. Model: not specified. Imputed_year: null. Imputed_mileage_km: null. Has_aftermarket_mods: false.,,,,,False
51,Title indicates used electric bicycle without a battery. No specific brand or model mentioned.,,,,,False
52,Title indicates electric bicycle from the standard brand Honda. No model specified but described as new and functional.,Honda,,,,False
53,"Title indicates electric bicycle brand Yadea, described as used but in good condition. No model or year specified.",Yadea,,,,False
54,"Title indicates electric bicycle from the brand Yamaha, mentioned to have been used for 4 years. Year of manufacture is implied to be 4 years ago from 2023.",Yamaha,,2023.0,,False
55,Title indicates used electric bicycle Yadea brand in yellow-black color. No model or specific details about modifications provided.,Yadea,,,,False
46,"Title indicates it's an electric bicycle (Xe đạp điện), but doesn't specify brand or model. Year and mileage are not mentioned, set to null.",,,,,False
47,"Title indicates it's an electric bicycle (Xe đạp điện) from Yadea, identified by color and design features. Year and mileage are not mentioned, set to null.",Yadea,,,,False
48,"Title indicates it's an electric bicycle (Xe đạp điện) but doesn't specify brand or model. Year and mileage are not mentioned, set to null.",,,,,False
49,"Title indicates it's an electric bicycle (Xe đạp điện) from Yadea (model AC-09) and mentions maintenance. Year and mileage are not mentioned, set to null.",Yadea,AC-09,,,False
50,"Title suggests it's a new model from Pega (potentially a stock electric bicycle), but does not provide any details on year or mileage. Set to null.",Pega,,,,False
61,Brand identified: Yadea. No model/year/mileage mentioned. No aftermarket mods indicated.,Yadea,,,,False
62,Brand identified: Pega. Model: Cap-A inferred from title.,Pega,Cap-A,,,False
63,Brand not mentioned. Model inferred: 133 from title.,,133,,,False
64,Brand not mentioned. Model inferred: SUPER 8 from title.,,SUPER 8,,,False
65,Brand identified: Yadea. Model not specified.,Yadea,,,,False
66,Brand unknown. Model inferred as V1. No year/mileage mentioned. No aftermarket mods.,,V1,,,False
67,Brand unknown. Model inferred as Q29. No year/mileage mentioned. No aftermarket mods.,,Q29,,,False
68,Brand unknown. Model inferred as sonsu. No year/mileage mentioned. No aftermarket mods.,,sonsu,,,False
69,Brand unknown. Model not evident from title; no year/mileage mentioned. No aftermarket mods.,,,,,False
70,Brand unknown. Model inferred as Samurai 4. No year/mileage mentioned. No aftermarket mods.,,Samurai 4,,,False
71,The listing specifies it is a SONSU electric bicycle but does not mention a production year or mileage. No aftermarket modifications are noted.,Sonsu,,,,False
72,The title indicates it is a Yadea model with specific details on functionality and condition. No year or mileage is provided. No aftermarket modifications are mentioned.,Yadea,133H SEEYES,,35.0,False
73,"This listing refers to a Kaiser electric bicycle. Information on year and mileage is missing, and no aftermarket mods are indicated.",Giant,Kaiser,,,False
74,"The listing describes it as a DK bike but does not specify a model name, year, or mileage. No aftermarket modifications are noted.",Pega,Samurai,,,False
75,"This listing is for a Venum electric bicycle, but lacks details on year and mileage. No aftermarket modifications are mentioned.",,D155,,,False
91,"The listing mentions an electric bicycle but does not specify brand, model, year, or mileage.",,,,,False
92,"The listing mentions a PEGA branded electric bicycle but does not specify model, year, or mileage.",Pega,,,,False
93,The listing mentions a Yadea branded electric bicycle with usage described as 95%. It does not specify the year or mileage.,Yadea,,,,False
94,The listing talks about an electric bicycle without specifying the brand or model but mentions it is in good condition. Year and mileage are not mentioned either.,,,,,False
95,"The listing specifies it is a new model (M133), but does not provide year, mileage, or aftermarket modifications.",,M133,,,False
101,Brand and model are unknown. No specific year or mileage mentioned. No aftermarket modifications indicated.,,,,,False
102,Brand is Assama as per title. No specific year or mileage mentioned. No aftermarket modifications indicated based on the description.,Asama,,,,False
103,Brand can be inferred as Yadea from the description of the model's features. The battery is specified but no production year or mileage is mentioned. No aftermarket modifications described.,Yadea,,,,False
105,"Unknown brand and model, but the description indicates a battery capability allowing for significant range. No specific year or mileage mentioned. No aftermarket modifications indicated.",,,,,False
106,Brand and model are unknown. The price is mentioned but lacks specific year or mileage. No aftermarket modifications are mentioned.,,,,,False
86,Title indicates it's a new electric bicycle with a warranty but no brand or model specified.,,,,,False
87,"Title suggests a new electric motorbike, but the brand is unclear and no model is specified.",,,,,False
88,"The listing describes a new Vespa X1 electric bicycle; hence, brand and model can be identified as Vespa X1.",Pega,X1,,,True
89,Title mentions Pega Cap A; hence brand is Pega and model is Cap A. No aftermarket modifications are suggested.,Pega,Cap-A,,,False
90,The listing indicates a new electric bike from Tailg but doesn't specify a model and has no aftermarket mods mentioned.,Asama,MOKA JS32,,,False
96,"The title indicates it is a new electric bike (Xe đạp điện), but no brand or model is specified. Mileage and year are also not mentioned.",,AIR BIKE M133,,,False
97,"The title mentions an electric bike but does not specify the brand or model. Year and mileage are not mentioned, indicating a stock condition.",,AZI,,,False
98,"This listing specifies TAILG as the brand, with the model being GX30 PLUS. Mileage and year are not indicated in the description, and aftermarket modifications are not mentioned.",Tailg,GX30 PLUS,,,False
99,"The listing identifies the bike as Q50, but the brand is not mentioned. Mileage and year are also not included, and it appears to be stock.",,Q50,,,False
100,"The listing is for a BMX bike, but the brand is not specified. There are no details regarding year or mileage. It seems to be in original condition without aftermarket modifications.",,BMX,,,False
76,"Brand is mapped to standard brand Yadea, model is inferred from title as S-Force. Year and mileage are not mentioned, so they are set to null. Aftermarket mods not mentioned, so set to false.",Yadea,S-Force,,,False
77,"No brand or model specification found; features of the listing lack detail on the vehicle's year and mileage. Aftermarket mods not mentioned, so set to false.",,,,,False
78,"Brand is determined to be Yadea from 'XE ĐẠP ĐIỆN BIKE', while model is not specified. Neither year nor mileage mentioned, defaults to null. Aftermarket mods not mentioned, so set to false.",Yadea,Bike,,,False
79,"No standard brand or model identified; features are too vague. Year and mileage not stated, resulting in null values. No aftermarket modifications suggested, so set to false.",,,,,False
80,"Brand is Yamaha, model is presumed to be an unspecified model of electric bicycle. Year is mentioned as 2026, mileage not provided, so set to null. Since no aftermarket mods mentioned, set to false.",Yamaha,,2026.0,,False
81,"The listing mentions 'xe đạp điện i8 hitasa' but does not specify a production year, mileage or aftermarket modifications.",Dibao,i8,,,False
82,The listing mentions 'Xe đạp điện Yadea' without specifying a production year or mileage. No aftermarket modifications were indicated.,Yadea,,,,False
83,"The listing talks about a Suzuki model with an engine but also integrates electric features. No year or mileage details were provided, and no modifications were noted.",Honda,Esperro,,,False
84,"The listing describes a general electric bicycle without a specific brand or model, and no year or mileage is mentioned.",,,,,False
85,"Similar to the above, this describes an electric bicycle without brand or model specifics. No production year or mileage is provided.",,,,,False
117,Title mentions 'Xe đạp điện màu Đen đã sử dụng' but does not specify brand or model. Year and mileage are not mentioned.,,,,,False
118,Title mentions 'Xe đạp điện Asama 48V' indicating brand is Asama. No model specified. Year and mileage not mentioned.,Asama,,,,False
119,Title mentions 'xe đạp điện trợ lực NAhXUS' indicating brand as NAhXUS. Model is not clear. Year and mileage not mentioned.,,,,,False
120,Title mentions 'xe đạp điện' but does not specify brand or model. Year and mileage not mentioned.,,,,,False
121,Title mentions 'Xe đạp điện Martin' indicating brand is Martin. No model specified. Year and mileage not mentioned. 'Có giỏ xe' indicates possible aftermarket part.,,,,,True
127,No specific brand or model mentioned. Year and mileage not available.,,,,,False
128,"Brand is OSAKAR, model not specified. Year and mileage are not mentioned, but ODO mileage given as 900km.",Yadea,Osakar,,900.0,False
129,"Brand is V1, model is 'V1 Hồng'. Year and mileage not available, motor warranty is mentioned.",Yadea,V1,,,False
130,"No specific brand or model mentioned. Year and mileage not available, but mentions warranty.",,,,,False
131,"Brand is Action, model is 'AC 10_300'. Year not mentioned, but includes mileage functionality. No aftermarket modifications indicated.",Yadea,Action,,,False
122,"The title indicates the brand is Yadea and mentions a model, A3. The mileage is implied as 20 km per charge.",Yadea,A3,,20.0,False
123,The title states it is a Kaishi electric bike but does not provide specific details about the model. The age suggests it is less than 2 years old.,Dat Bike,,2021.0,,False
124,"While it mentions Yadea and the model k1, no other features, year, or mileage are specified. It is used but still in good condition.",Yadea,k1,,,False
125,"The listing is for an unspecified brand and model, only categorized as an electric bicycle. No year or mileage details are provided.",,,,,False
126,The title tells that it is a Yadea i8 and states it is in good condition with no modifications.,Yadea,i8,,,False
132,"Electric bicycle from the title, new condition indicated, production year specified as 2026, no mileage mentioned, aftermarket features included with a remote.",VinFast,N/A,2026.0,,True
133,"Electric bicycle from the title, brand is identified as Honda, no year or mileage mentioned, no aftermarket modifications indicated.",Honda,Dream,,,False
134,"Electric bicycle identified as Pega from the title, no year or mileage mentioned, no aftermarket modifications indicated.",Pega,N/A,,,False
135,"Electric bicycle identified as Pega from the title, no year mentioned, indicated to be somewhat new with no specific mileage, no aftermarket modifications indicated.",Pega,N/A,,,False
136,"Electric bicycle identified as Yadea from the title, no year or mileage mentioned, no aftermarket modifications indicated.",Yadea,i8,,,False
112,"The title indicates it's a Honda e-bike, specifically noted as 'Xe đạp điện Honda Đen mới thay pin' and mentions replacing the battery. It does not specify the model, year, or mileage, and there are no mentions of aftermarket modifications.",Honda,,,,False
113,"The title mentions it as an e-bike but does not specify a brand or model. The description provides minimal information, only stating that a new battery was added and does not mention any year or mileage.",,,,,False
114,"This listing refers to a Panasonic e-bike without specifying a model. The description indicates that it has had two batteries replaced and that there is no further need for it. No year or mileage is provided, nor is there mention of aftermarket modifications.",Asama,,,,False
115,"The title states it is a Fiido electric bike and provides details about its functionality, such as being able to run 30-35 km with pedal assistance. There is no mention of the year or mileage, and while it presents particular features, there are no indications of aftermarket modifications",Dat Bike,Fiido,,,False
116,"This listing refers to a Yadea e-bike, stating it is nearly new with a range of 90 km. It lacks specific model information, year, or exact mileage but does note the bike's features and condition. No aftermarket modifications are mentioned.",Yadea,,,90.0,False
107,"The listing title does not provide the brand or model. The description mentions that the vehicle is new, and comes with accessories but no specific aftermarket modifications. Year and mileage are also not provided, so they are set to null.",,,,,False
108,"The bike is referred to as 'Yamaha' in the title for the brand. The model is not clear from the title and description. It mentions the bike can operate normally within a range of 25 to 30 km per charge. The year and aftermarket modifications are not mentioned, so they are set to null.",Yamaha,,,,False
109,"The description highlights the new model 'Dreaform Type 3 Pro', which allows for brand and model identification. The production year is mentioned as 2026 which is used, and the mileage is 60-70 km per charge as per the description. No aftermarket modifications are indicated.",Dibao,Dreaform Type 3 Pro,2026.0,65.0,False
110,"The bike type is identified as an electric bicycle, but the brand and model are not specified in the title or description. It indicates a range of 25 km per charge. No year or aftermarket modifications are specified so those features are set to null.",,,,25.0,False
111,"The electric bike is identified as an 'ASAMA' in the title, and the model is associated implicitly in the description. The mileage per charge is specified as 30-35 km. No production year is mentioned and no aftermarket mods are indicated, so those are set to null.",Asama,,,32.0,False
142,"Title mentions 'PEGA WINGS', which maps to the brand Pega. No mileage or year is provided, and aftermarket modifications are not specified.",Pega,Wings,,,False
143,"Title and description mention 'yamaha', which maps to the brand Yamaha. Mileage is implied with speed (25-30 km/sạc) but not explicitly stated, so set to null. Year is not mentioned. No aftermarket modifications indicated.",Yamaha,Electric Bicycle,,,False
144,"Title mentions 'DRACA S20', which maps to a likely brand of DRACA, but no standard mapping exists. Year and mileage not mentioned, and no aftermarket modifications specified, so all set to null.",,S20,,,False
145,"Title refers to 'Pega Cap A', which maps to the brand Pega and model Cap-A. No year or mileage mentioned, and no aftermarket modifications indicated.",Pega,Cap-A,,,False
146,"Title indicates 'Yadea', which maps to the standardized brand Yadea. Describes condition but does not specify year or mileage, so both are set to null. No aftermarket modifications are mentioned.",Yadea,,,,False
137,"The title indicates the brand 'Asuka'. The model is not explicitly mentioned but is inferred to be '133M'. Year and mileage are not provided, so they are set to null. No aftermarket modifications are mentioned.",Asama,133M,,,False
138,"The title mentions 'HÀNG CÔNG TY' which indicates it is a company product but does not specify a brand or model. Year and mileage are not provided, so they are set to null. No aftermarket modifications are mentioned.",,,,,False
139,"The title indicates the brand 'SEN'. The model is not explicitly stated but can be inferred as ‘4 bình’. Year and mileage are not provided, so they are set to null. No aftermarket modifications are mentioned.",Yadea,SEN,,,False
140,"The title indicates the brand as 'Moka'. The model is directly given as 'i8'. Year and mileage are not provided, so they are set to null. No aftermarket modifications are mentioned.",Yadea,i8,,,False
141,"The title indicates 'E6' as the model, but the brand is not specified. Year and mileage are not provided, so they are set to null. No aftermarket modifications are mentioned.",,E6,,,False
152,"The listing mentions an electric bicycle, brand as 'HK Bike' (not standardized), and does not provide a specific model. The year and mileage are not mentioned, hence set to null. There are no aftermarket modifications indicated.",,,,,False
153,"This is an electric bicycle from Yadea, model is i6. The year and mileage are not specified, resulting in null values for both. There are no indications of aftermarket modifications.",Yadea,i6,,,False
154,"The listing is for an electric bicycle from Sonsu, specifically the Pro model. No specifics on year or mileage are given, hence they are null. There are no aftermarket modifications indicated.",Sonsu,Pro,,,False
155,"The bike is an electric model from Asama, without a specific model name provided. No year or mileage details are mentioned, set to null. There are no aftermarket modifications shown.",Asama,,,,False
156,"The listing refers to an electric bicycle from Yadea, specifically the i8 model. The year and mileage are not specified, hence set to null. There are no aftermarket modifications indicated in the description.",Yadea,i8,,,False
147,The listing mentions the brand as Yadea and provides a specific model of 133. It indicates the operational range per charge but does not mention any mileage or year of production. No aftermarket modifications were identified.,Yadea,133,,,False
148,"The listing does not provide any specific brand or model name. Therefore, brand and model are set to null. It mentions functionality and convenience but does not specify mileage or year. There are no aftermarket modifications mentioned.",,,,,False
149,The listing mentions the brand as Mạnh Phát and provides the model as 133. It suggests that the vehicle is used but does not specify year or mileage. There are no aftermarket modifications mentioned in the description.,,133,,,False
150,"The listing identifies the brand as Yadea and the model as SKY. There is no indication of the year or mileage in the description. Aftermarket modifications are not mentioned, so they remain false.",Yadea,SKY,,,False
151,The listing mentions the brand as Moka Bike but does not specify the model. The description highlights quality and components but lacks specific mileage or year information. No aftermarket modifications were noted.,Moka Bike,,,,False
157,"The listing mentions a blue electric bicycle, suitable for both genders, but does not specify brand or model. Production year and mileage is also not provided.",,,,,False
158,"The title indicates a 2025 model electric bicycle with a 36-month warranty. However, brand and model are not specified. Mileage is not mentioned, hence set to null. No aftermarket modifications are indicated in the description.",,,2025.0,,False
159,"The listing describes an electric vehicle named '133s' but does not specify the brand. The mileage is indicated as over 30km when fully charged, but the year is not mentioned. No aftermarket modifications are noted.",,133s,,30.0,False
160,"This listing is for an Asama electric bicycle with 4 batteries. The condition is stated and mileage is not directly mentioned, hence set to null. No modifications are listed.",Asama,,,,False
161,"This is a used Newber electric bicycle listing. Mileage is estimated around 20-25 km per charge but no year is articulated, leading to null status. There are no modifications stated.",Newber,,,25.0,False
162,"The title mentions 'xe điện Cap Pega', which indicates the brand is Pega and the model is Cap Pega. No year or mileage information is provided. Since there's no mention of aftermarket modifications, has_aftermarket_mods is set to false.",Pega,Cap Pega,,,False
163,"The title mentions 'xe đạp điện', indicating it is an electric bicycle. However, it does not specify the brand or model. The mileage and year are also not provided. There are no indications of aftermarket modifications, so has_aftermarket_mods is set to false.",,,,,False
164,"The title mentions 'xe đạp trợ lực điện RUNFUN Nhật Bản', so the brand is RUNFUN but not a standardized brand per the instruction set, thus set to null; the model is inferred to be 'RUNFUN'. No year or mileage is given, and there are no aftermarket modifications indicated, so has_aftermarket_mods is false.",,RUNFUN,,,False
165,"The title specifies 'Xe đạp điện Asama Nâu Unisex', indicating the brand is Asama. There is no year or mileage mentioned, and no indication of modifications, so has_aftermarket_mods is false.",Asama,Nâu Unisex,,,False
166,"The title mentions 'Xe đạp điện', indicating it's an electric bicycle, but does not specify a brand or model. There is no information on year or mileage, and no modifications mentioned, so has_aftermarket_mods is false.",,,,,False
167,"No explicit brand, model, production year, or mileage mentioned in title/description. No aftermarket mods stated.",,,,,False
168,"Description lists specifications (manufacturer Viet Nhat, max speed, battery type, etc.) but provides no clear brand accepted in standard mapping or model/year/mileage. No aftermarket mods mentioned.",,,,,False
169,Brand identified as Sonsu; model appears to be DK-Bike. No year or mileage provided. No mods mentioned.,Sonsu,DK-Bike,,,False
170,Brand identified as Sonsu; model identified as A10. No year or mileage provided. No mods mentioned.,Sonsu,A10,,,False
171,"Mentions Kyota; brand not in allowed standard brands, so brand is null; model set to Kyota. No year or mileage provided. No mods mentioned.",,Kyota,,,False
172,Brand not detected; model inferred as CWFZD from title; no year or mileage mentioned; no aftermarket mods indicated.,,CWFZD,,,False
173,Brand detected as Asama; model inferred as A-48; no year or mileage mentioned; no aftermarket mods.,Asama,A-48,,,False
174,Year 2022 stated; brand not in standard list; model inferred as Q8; no aftermarket mods.,,Q8,2022.0,,False
175,Brand not detected; model not specified; no year or mileage mentioned; no aftermarket mods.,,,,,False
176,Model inferred as Sport Move; brand not detected; no year or mileage mentioned; no aftermarket mods.,,Sport Move,,,False
177,Brand 'HITASA' not in standardized list; no year or mileage mentioned; no aftermarket mods indicated.,,,,,False
178,No brand/model/year/mileage/mods mentioned.,,,,,False
179,AZI present in title; not in standardized brands list; treat as model; no year/mileage/mods explicitly mentioned.,,AZI,,,False
180,Brand 'SAMA' likely corresponds to standardized 'Asama'; model not specified.,Asama,,,,False
181,Model 'Spring' detected in title; brand not identified; no year/mileage/mods specified.,,Spring,,,False
182,Brand not in standard list; extracted model 'Otheli'. No year or mileage mentioned. No aftermarket mods explicitly stated.,,Otheli,,,False
183,Model '133pro' detected; brand not specified; no year/mileage; no mods mentioned.,,133pro,,,False
184,Year indicated as 2026 in title; model inferred as 'V1' from description; no mileage information.,,V1,2026.0,,False
185,Brand 'SONSU' not in standard list; treated as unknown. Model 'SONSU' captured for reference; no year/mileage.,,SONSU,,,False
186,Model 'Vespa 946' identified; brand not standardized; no year or mileage provided; no explicit mods stated.,,Vespa 946,,,False
192,No brand or model explicitly mentioned; no mileage or year; no aftermarket mods stated.,,,,,False
193,Brand Yadea detected from title; color/model not clearly separate; no year or mileage; no mods stated.,Yadea,,,,False
194,Model 'Type3 pro' detected from title; brand not specified; no year/mileage/mods.,,Type3 pro,,,False
195,Model 'Milan II' detected from description; brand not specified; no year/mileage/mods.,,Milan II,,,False
196,Model '133M' detected from description; brand not specified; no year/mileage/mods.,,133M,,,False
197,No year or mileage mentioned. Model identified as 133S. No aftermarket mods detected.,,133S,,,False
198,Hitasa not in standard brands; brand null. Model set to 'Hitasa'. No year or mileage data. No mods.,,Hitasa,,,False
200,Model identified as M133. No year or mileage data. Includes battery but no aftermarket modification indicated.,,M133,,,False
201,Gicin not in standard brands; brand null. Model set to 'Gicin'. No year or mileage. No mods.,,Gicin,,,False
202,No brand or model mentioned. No year or mileage data. No mods; charger noted as included but not aftermarket.,,,,,False
187,Brand unknown from title/desc. Model presumed 'Osaka' from 'osaka' mentioned in description. No year or mileage mentioned. No aftermarket mods detected.,,Osaka,,,False
188,ASUKA 133 PRO appears in the title; '133 PRO' captured as model. Brand not mapped to the list of standard brands; thus brand is null. No year/mileage/mods information.,,133 PRO,,,False
189,Brand detected as Yadea from title. Model inferred as '133'. No year or mileage given; no aftermarket mods indicated.,Yadea,133,,,False
190,Brand not clearly mapped to the standard list; model not specified. Describes features of a Bridgestone e-bike with throttle; no year/mileage; no mods mentioned.,,Bridgestone,,,False
191,Brand detected as Yadea from the description; no model/year/mileage; no mods mentioned.,Yadea,,,,False
203,Brand unknown. Model identified as X20T Pro. No aftermarket mods detected. Year and odometer not specified.,,X20T Pro,,,False
204,"Brand unknown. Model inferred as v1 from title. No year, mileage, or mods mentioned.",,v1,,,False
205,"Model inferred as M133PRO. Brand not identified. No year, mileage, or mods mentioned.",,M133PRO,,,False
206,"Model inferred as HGT 133. Brand not identified. No year, mileage, or mods mentioned.",,HGT 133,,,False
207,"Brand identified as Yadea. Model identified as X1. No year, mileage, or mods mentioned.",Yadea,X1,,,False
208,Brand detected: Yadea; model not stated; year mileage not mentioned; no aftermarket mods inferred.,Yadea,,,,False
209,Brand not in standard list; model detected: S10; year mileage not mentioned; no aftermarket mods inferred.,,S10,,,False
210,No brand/model/year/mileage/mods mentioned.,,,,,False
211,Model detected: V1 plus; mileage listed as 80 km; year not mentioned; mods not inferred.,,V1 plus,,80.0,False
212,Model detected: V1 plus; mileage listed as 238 km (odo); year not mentioned; mods not inferred.,,V1 plus,,238.0,False
218,No brand or year/mileage mentioned. Model inferred from title as 'V1'. No aftermarket mods described.,,V1,,,False
219,Record mentions 'Xmen' with motor and daily-use convenience but no year/mileage. Brand unknown; model inferred as 'Xmen'.,,Xmen,,,False
220,Brand mentioned as ASAMA; no year/mileage; model not specified.,Asama,,,,False
221,Model indicated as 'G9' under brand 'JVC' which is not in the standard list; mileage provided as 3657 km. Year not mentioned.,,G9,,3657.0,False
222,Brand mentioned as ASAMA; no year/mileage or model details.,Asama,,,,False
213,Title indicates model 'M133s Plus'; no explicit brand mentioned in title/desc. Model inferred as 'M133s Plus'. Mileage/year not provided.,,M133s Plus,,,False
214,Model 'Gicin SK8' is mentioned; no year or odometer provided; no aftermarket mods indicated.,,Gicin SK8,,,False
215,Describes throttle-assisted e-bike with 80km per charge and NFC/locking features; no brand/year/odometer specified; no aftermarket mods indicated.,,Trợ lực có ga,,,False
216,States 'Giant M133s' and includes 'Giant' as brand; model is M133s; no year or mileage specified.,Giant,M133s,,,False
217,Describes used Bat X Classic; brand not clearly listed within allowed brands; model set to 'Bat X Classic'. No year or mileage provided.,,Bat X Classic,,,False
223,No brand/model/year/mileage mentioned in title/desc; no aftermarket mods indicated.,,,,,False
224,Brand identified as Asama from title; model reflected as 'Asama Xanh' to capture model/color.,Asama,Asama Xanh,,,False
225,No brand or model specified; all other fields not provided in description.,,,,,False
226,Listed model 'Enimel S8'; brand not specified.,,Enimel S8,,,False
227,Listed as 'M133PRO'; brand not specified.,,M133PRO,,,False
228,Brand not in the standardized list. Model inferred as VT BIKE. Anti-theft device installed (aftermarket). Year and mileage not explicitly mentioned.,,VT BIKE,,,True
229,Brand not in the standardized list. Model inferred as Gant. No aftermarket modifications mentioned.,,Gant,,,False
230,Brand matched to Pega. Model inferred as capA9. No aftermarket modifications mentioned.,Pega,capA9,,,False
231,Brand Wahama not in the standardized list. Model inferred as E1. No aftermarket modifications mentioned.,,E1,,,False
232,Brand not in the standardized list. Model inferred as V1. Battery included but not an aftermarket modification.,,V1,,,False
233,Brand not in standard list; model not clearly stated; no year or mileage detected in title/desc; no aftermarket mods.,,,,,False
