Ngày đăng,Tên xe,Tên người bán,Địa chỉ,Năm sản xuất,Tình trạng,Số Km đã đi,Xuất xứ,Kiểu dáng,Màu ngoại thất,Số chỗ ngồi,Số cửa,Mô tả,Link,Website,vehicle_type,Giá_VND,brand,car_model,battery_status,is_accident_free,has_aftermarket_mods
2026-02-28,Xe VinFast VF8 Plus AWD 2023,GF Hoàng Quốc Việt,"14 Hoàng Quốc Việt, Cầu Giấy Hà Nội",2023.0,Đã qua sử dụng,47000.0,Lắp ráp trong nước,SUV,Đỏ,5 chỗ,5 cửa,"VF8 2023 MÀU ĐỎ – XE ĐẸP BẢN PLUS – QUÀ NOEL HẤP DẪN! | Cuối năm săn xe đẹp – đây là chiếc VF8 rất đáng xuống tiền! | VinFast VF8 đời 2023, sang trọng, form xe cực đẹp, chạy chuẩn 4.7 vạn km, chất lượng còn rất mới. | Điểm khiến khách xem là mê: | Màu ĐỎ,TRẺ lịch lãm – càng nhìn càng sang | Bản Plus full option | Cửa sổ trời rộng thoáng | Ghế da xịn, nội thất sạch – giữ gìn kỹ | Vận hành êm ái, pin khỏe, đi rất sướng | ✓ Cam kết xe đẹp – không đâm va – không ngập nước – bao check hãng | Xe đang trưng bày, xem xe trực tiếp là chốt! | QUÀ NOEL ĐẶC BIỆT: | Cọc xe trong tháng này – TẶNG NGAY QUÀ NOEL GIÁ TRỊ | Áp dụng cho khách thiện chí, số lượng có hạn | Giá bán cực hợp lý ĐÃ TRỪ 120 CHO KHÁCH CÓ XE XĂNG ĐỔI XE ĐIỆN– ưu tiên khách chốt nhanh | Xe đẹp – đời cao – option đủ – không có chiếc thứ 2 tương tự | Liên hệ ngay | Xem xe tại showroom – cọc sớm, nhận quà Noel ngay! | VF8 2023 – xe đẹp – quà Noel – mua là lời!",https://bonbanh.com/xe-vinfast-vf8-plus-awd-2023-6602673,bonbanh.com,oto_dien,661000000.0,Khác,VF8 Plus AWD,Không rõ,True,True
2026-02-28,Xe VinFast VF8 Plus AWD 2026,Vinfast Times City,"Tầng B1, TTTM Vincom Times City - 458 Minh Khai, Vĩnh Tuy, Hai Bà Trưng Hà Nội",2026.0,Mới,0.0,Lắp ráp trong nước,SUV,Xanh,5 chỗ,5 cửa,"VinFast VF8 Plus | Kích thước tổng thể (DxRxC) (mm): 4.750 x 1.934 x 1.667 | Chiều dài cơ sở (mm): 2.950 | - Trang bị: bộ mâm 5 chấu kép kích thước 20 inch bọc trong bộ lốp Pirelli 255/40R20, tay nắm cửa đồng màu thân xe, gương chiếu hậu tích hợp sấy và camera, các thông tin về xe sẽ được hiển thị trên kính lái HUD như: tốc độ, dung lượng pin, các thông tin về xe sẽ được hiển thị trên kính lái HUD như: tốc độ, dung lượng pin, điều hòa tự động 2 vùng với cửa gió điều hòa cho hàng ghế sau, bơm nhiệt, chức năng kiểm soát chất lượng không khí, lọc không khí cabin HEPA 1.0,... | Quý khách vui lòng liên hệ Vinfast - Times City để được tư vấn và nhận giá ưu đãi tốt nhất tháng!",https://bonbanh.com/xe-vinfast-vf8-plus-awd-2026-6545020,bonbanh.com,oto_dien,945000000.0,Khác,VF8 Plus AWD,Không rõ,True,True
2026-02-28,Xe VinFast VF8 Plus AWD 2023,GF Hoàng Quốc Việt,"14 Hoàng Quốc Việt, Cầu Giấy Hà Nội",2023.0,Đã qua sử dụng,12000.0,Lắp ráp trong nước,SUV,Trắng,5 chỗ,5 cửa,"F8 PLUS ĐỜI 2023 – TRẮNG . (xe thật ,ảnh thật, giá chuẩn ) | đang bầy SHOWROOM, NỘI THẤT NÂU SANG TRỌNG – XE ĐẸP CHUẨN HÀNG TRƯNG BẦY! | Có ngay một siêu phẩm dành cho khách hàng yêu sự đẳng cấp: | F8 Plus 2023 – màu trắng ngọc trai – nội thất nâu cực đẹp – xe trưng bày showroom, gần như chưa lăn bánh! | Điểm nổi bật khó tìm: | ✔ Ngoại thất trắng tinh khôi – nổi bật mọi góc nhìn | ✔ Nội thất màu nâu thời thượng – sang như xe châu Âu | ✔ Chất lượng mới xuất sắc – trưng bày showroom, bảo quản cực kỹ | ✔ Hệ thống giải trí siêu to – full options cao cấp | ✔ Xe sạch như hộp quà mới bóc | Da nâu chuẩn luxury | Full LED hiện đại | Ghế chỉnh điện, không vết nhăn | Âm thanh cực hay | Camera, an toàn đầy đủ | Giá đẹp – ưu tiên khách thiện chí – xe cực hiếm! | --- | Chỉ cần xem xe là mê – cảm giác mới 99% | Không tìm được chiếc thứ 2 cùng option – cùng nội thất – cùng chất xe | Gọi ngay: em Dương | Xem xe tại: Showroom – sẵn xe – cọc giữ ngay! | Chậm tay là mất – hàng trưng bày showroom rất ít!",https://bonbanh.com/xe-vinfast-vf8-plus-awd-2023-6565826,bonbanh.com,oto_dien,631000000.0,Khác,VF8 Plus AWD,Không rõ,True,True
2026-02-28,Xe VinFast VF8 Plus AWD 2023,GF Hoàng Quốc Việt,"14 Hoàng Quốc Việt, Cầu Giấy Hà Nội",2023.0,Đã qua sử dụng,12000.0,Lắp ráp trong nước,SUV,Xanh,5 chỗ,5 cửa,"VF8 PLUS ĐỜI 2023 – Xanh Dương. (xe thật ,ảnh thật, giá chuẩn ) | đang bầy SHOWROOM, NỘI THẤT SANG TRỌNG – XE ĐẸP CHUẨN | Có ngay một siêu phẩm dành cho khách hàng yêu sự đẳng cấp: | F8 Plus 2023 – màu Xanh– nội thất đen cực đẹp – xe trên showroom | Điểm nổi bật khó tìm: | ✔ Ngoại thất Xanh êm dịu – nổi bật mọi góc nhìn | ✔ Nội thất thời thượng – sang như xe châu Âu | ✔ Chất lượng mới xuất sắc – trưng bày showroom, bảo quản cực kỹ | ✔ Hệ thống giải trí siêu to – full options cao cấp | ✔ Xe sạch như hộp quà mới bóc | Da đên chuẩn luxury | Full LED hiện đại | Ghế chỉnh điện, không vết nhăn | Âm thanh cực hay | Camera, an toàn đầy đủ | Giá đẹp – ưu tiên khách thiện chí – xe cực hiếm! | Chỉ cần xem xe là mê – cảm giác mới 99% | Không tìm được chiếc thứ 2 cùng option – cùng nội thất – cùng chất xe | Xem xe tại: Showroom – sẵn xe – cọc giữ ngay! | Chậm tay là mất – hàng trưng bày showroom rất ít!",https://bonbanh.com/xe-vinfast-vf8-plus-awd-2023-6566952,bonbanh.com,oto_dien,661000000.0,Khác,VF8 Plus AWD,Không rõ,True,True
2026-02-28,Xe VinFast VF3 Plus 2026,Thịnh Phát,"68 Lê Văn Lương, Phường Thanh Xuân, TP Hà Nội Hà Nội",2026.0,Mới,0.0,Lắp ráp trong nước,Hatchback,Đỏ,4 chỗ,3 cửa,"Vinfast VF3 - giao NGAY - BÁN TOÀN QUỐC | + Tặng sạc miễn phí đến 30/6/2027 | + Miễn 100% lệ phí trước bạ | + Cam Kết Hỗ Trợ Dịch Vụ Chất Lượng Sau Bán Hàng | —- | + Giảm 6% Giá Bán | + Quà Tặng Của Đại Lý | + Riêng khách hàng Hà Nội tặng thêm điểm Vpoint | + Chương Trình “ Mua Xe 0 Đồng “ Dành Riêng Cho VF3 | + Tặng Quà Tết 2026 | —————————— | HỖ TRỢ THU HỒI BIỂN ĐỊNH DANH - MUA LẠI XE CŨ GIÁ CAO | - Hỗ trợ Bank lên đến 80%- 85% - 90% giá trị xe! Chỉ cần 10% Tổng giá trị xe !!!! | - Hỗ trợ giao xe tận nhà! | - Hỗ trợ đăng ký, đăng kiểm! | - Hỗ trợ khách hàng không có hộ khẩu Hà Nội nhưng đăng kí xe được biển Hà Nội! | + Cam kết giá xe tốt nhất và khuyến mại nhiều nhất thị trường.",https://bonbanh.com/xe-vinfast-vf3-plus-2026-6640510,bonbanh.com,oto_dien,269000000.0,Khác,VF3 Plus,Không rõ,True,False
2026-02-28,Xe VinFast VF8 Eco AWD 2023,GF Thường Tín,"Số 207 Quán Gánh, Văn Giáp, Thường Tín Hà Nội",2023.0,Đã qua sử dụng,64000.0,Lắp ráp trong nước,SUV,Đen,5 chỗ,5 cửa,"BÁN NHANH, VINFAST VF8 2023– ĐI 6 VẠN KM – GIÁ TỐT NHẤT! | Giá đã trừ mọi khuyến mại tháng và đổi xe xăng qua điện | Sắp tết, gia đình đổi lên vf9. | Cần bán nhanh 2 VF8 đời 2023, odo 64.000 km, xe đẹp không lỗi, chạy mượt – pin khỏe, bao check hãng. | Cam kết: Không đâm va – Không ngập nước – Không lỗi điện. | Trang bị đủ: Camera 360, hỗ trợ lái, nội thất sạch như mới. | Giá ra đi cực mềm | Thương lượng nhanh cho khách thiện chí. | Xe đẹp – Giá tốt – Ai nhanh người được!",https://bonbanh.com/xe-vinfast-vf8-eco-awd-2023-6559880,bonbanh.com,oto_dien,531000000.0,VinFast,VF8 Eco AWD,Mua pin,True,True
2026-02-28,Xe VinFast VF8 Plus AWD 2023,GF Green Future 269,"79 Nguyễn Văn Cừ, Long Biên Hà Nội",2023.0,Đã qua sử dụng,47000.0,Lắp ráp trong nước,SUV,Đen,5 chỗ,5 cửa,"VinFast VF8 Plus Pin SDI sx 2023 - Đổi xe xăng sang xe điện giảm trực tiếp tiền măt lên đến 70tr | KHUYẾN MÃI giảm ngay 50 Triệu tiền mặt | Xe màu đen, nội thất màu đen | - Odo: 47.000km | - Dài x Rộng x Cao: 4750 x 1934 x 1667 (mm) | - Chiều dài cơ sở: 2950 (mm) | - Công suất tối đa: 300 kW (tương đương 402 mã lực) | - Mô-men xoắn cực đại: 620 Nm | - Hệ dẫn động: 2 cầu toàn thời gian (AWD) | - Dung lượng pin: 87.7 kWh | - Quãng đường di chuyển: 457km (tiêu chuẩn WLTP) | Xe đã được kiểm tra đạt đủ tiêu chuẩn của nhà máy | Cam kết xe không lỗi, bảo hành dài hạn | Hỗ trợ trả góp lãi suất ưu đãi",https://bonbanh.com/xe-vinfast-vf8-plus-awd-2023-6488461,bonbanh.com,oto_dien,710000000.0,Khác,VF8 Plus AWD,Mua pin,True,False
2026-02-28,Xe VinFast VF6 Plus 2025,Minh Đạt,"Số 8, Đường 23 Khu ĐT TP Giao Lưu, Phạm Văn Đồng Hà Nội Xem gian hàng  ⇨",2025.0,Đã qua sử dụng,20000.0,Lắp ráp trong nước,SUV,Trắng,5 chỗ,5 cửa,Bán Vinfast VF6 Plus | Sản xuất: 2025 | Odo: 20.000km | Tên cá nhân 1 chủ sử dụng | Xe đẹp giữ gìn bảo dưỡng đầy đủ | Quý khách hàng quan tâm xe vui lòng liên hệ hotline để biết thêm thông tin chi tiết | Trân thành cảm ơn!,https://bonbanh.com/xe-vinfast-vf6-plus-2025-6652456,bonbanh.com,oto_dien,645000000.0,VinFast,VF6 Plus,Không rõ,True,False
2026-02-28,Xe VinFast VF e34 AT 2022,Pham thanh Tung,Hà Đông Hà Nội,2022.0,Đã qua sử dụng,10800.0,Lắp ráp trong nước,Crossover,Đen,5 chỗ,5 cửa,"Chính chủ cần bán VFe34 2022 đã mua đứt pin | - Xe đã chạy 10v8 ( xe cá nhân chưa chạy dịch vụ bao giờ ) | - Đã bảo hành thay động cơ mới cuối năm 2025 | - Đã bảo hành thay pin mới SDI đầu năm 2026 | - Đăng kiểm + phí đường bộ đến 1/2028 | - Miễn phí sạc bản tiên phong đến 12/2027 | - Bảo hiểm thân vỏ đến 4/2026 | - Xe đã trang bị thêm đèn bi gầm, led gầm ghế, quạt sưởi, lót sàn da + thảm sàn Kata, phim cách nhiệt 3M,..... | Cam kết xe chưa đâm đụng ngập nước. Cho check test mọi nơi cho yên tâm.",https://bonbanh.com/xe-vinfast-vf-e34-at-2022-6685476,bonbanh.com,oto_dien,420000000.0,VinFast,VF e34,Mua pin,True,True
2026-02-28,Xe VinFast VF8 Eco AWD 2022,GF Thường Tín,"Số 207 Quán Gánh, Văn Giáp, Thường Tín Hà Nội",2022.0,Đã qua sử dụng,60000.0,Lắp ráp trong nước,SUV,Đỏ,5 chỗ,5 cửa,"BÁN GẤP VINFAST VF8 2022 – ĐI 6 VẠN KM – GIÁ TỐT NHẤT! | Sắp tết, gia đình đổi lên vf9. | Cần bán nhanh VF8 đời 2022, odo 60.000 km, xe đẹp không lỗi, chạy mượt – pin khỏe, bao check hãng. | Cam kết: Không đâm va – Không ngập nước – Không lỗi điện. | Trang bị đủ: Camera 360, hỗ trợ lái, nội thất sạch như mới. | Giá ra đi cực mềm | Thương lượng nhanh cho khách thiện chí. | Xe đẹp – Giá tốt – Ai nhanh người được!",https://bonbanh.com/xe-vinfast-vf8-eco-awd-2022-6540243,bonbanh.com,oto_dien,499000000.0,VinFast,VF8 Eco AWD,Thuê pin,True,True
2026-02-28,Xe Bestune Xiaoma 2026,Wcar - Trung tâm Bán xe năng lượng Mới,"20 Cộng Hoà, Phường Tân Sơn Nhất, Hcm TP HCM",2026.0,Mới,0.0,Nhập khẩu,Hatchback,Hồng,4 chỗ,2 cửa,"BESTUNE XIAOMA – XE ĐIỆN NHỎ GỌN, CHUẨN PHONG CÁCH SỐNG XANH! | Bạn đã có thể sở hữu ngay một chiếc xe điện đô thị hiện đại – Bestune Xiaoma, mẫu xe được yêu thích bởi: | Di chuyển linh hoạt trong nội đô – thiết kế nhỏ gọn, dễ dàng luồn lách trong phố đông, đỗ xe “chuẩn từng milimet”. | Quãng đường lên đến 170km/lần sạc – thoải mái cho cả tuần đi làm, đi chơi, đi cà phê cùng bạn bè. | Sạc chủ động tại nhà chỉ 6–7 tiếng – cắm sạc buổi tối, sáng dậy có ngay “full pin”, cực kỳ tiện lợi! | ️ Bảo hành pin 5 năm hoặc 120.000km, thân vỏ 3 năm hoặc 100.000km – an tâm tuyệt đối khi sử dụng. | Ưu điểm nổi bật của xe điện nhỏ gọn: | Tiết kiệm tối đa chi phí nhiên liệu – 1 lần sạc chỉ vài chục nghìn đồng. | Không cần thay dầu, bảo dưỡng đơn giản, chi phí thấp. | Không khí thải – bảo vệ môi trường, chuẩn xu hướng xanh toàn cầu. | Khởi động êm ái, lái cực “chill” trong đô thị. | Đến ngay WCar – Trải nghiệm & lái thử thực tế | Địa chỉ: 20 Cộng Hòa, Phường Tân Sơn Nhất, TP. HCM",https://bonbanh.com/xe-bestune-xiaoma--2026-6504058,bonbanh.com,oto_dien,205000000.0,Khác,Xiaoma,Mua pin,True,False
2026-02-28,Xe Ford Mustang Mach-E Premium AWD 2025,Long Biên Ford,Số 3 Nguyễn Văn Linh - Long Biên Hà Nội,2025.0,Mới,0.0,Nhập khẩu,SUV,Đỏ,5 chỗ,5 cửa,"- Khuyến mãi 100tr cho 300 khách hàng đầu tiên | - Mầu sắc: trắng, đỏ, đen, xanh | - Trả góp tối đa 85% | - Lãi suất ưu đãi chỉ từ 0.6%/ tháng, cố định trong 3 năm | - Cung cấp biển số đẹp định danh toàn quốc | - Làm biển Hà Nội cho khách tỉnh | FORD MUSTANG MACH-E là sự kết hợp hoàn hảo giữa thiết kế biểu tượng, phong cách thể thao, mạnh mẽ cùng hiệu suất vượt trội và công nghệ xe điện tiên tiến mang tới sự tự do, phấn khích trên mỗi cung đường. | - Quãng đường di chuyển 1 lần sạc: 550km | - Dung lượng pin khả dụng: 88 kWh | - Mức tiêu thụ năng lượng: 193 Wh/km | - Giải pháp sạc linh hoạt: | + Sạc tại nhà hoặc sạc di động: bộ sạc treo tường được tặng kèm và lắp đặt hoặc bộ sạc di động tiện lợi đi cùng theo xe | + Sạc qua bộ sạc công suất lớn ở đại lý Ford hoặc mạng lưới trạm sạc công cộng của đối tác Ford. | - Động dơ điện kép | - Công suất/Mô men xoắn cực đại: 395PS/676Nm | - Cần số điện tử | - Chế độ lái 1 bàn đạp | - Kich thước : 4728x1881x1627mm | - Khoảng sáng gầm xe: 158mm | - Chiều dài cơ sở: 2984mm | - Phanh Prembo hiệu năng cao | - Phanh tay điện tử | - Cỡ lốp: 225/55R19 | - Nội thất cao cấp: màn hình giải trí kích thước lớn 15.5inch và bảng đồng hồ trung tâm điện tử 10.2inch | - Khoang chứa đồ rộng rãi, trần kính toàn cảnh, cốp trước tiện dụng | - 10 loa B&O cao cấp | - Mở cửa 1 chạm | - 10 túi khí | - Cam 360 | - Gói công nghệ hỗ trợ người lái (ADAS): | + Cảnh báo va chạm và phanh khẩn cấp | + Cảnh báo lệch làn và duy trì làn đường | + Giữ phanh sau va chạm | + Cảnh báo điểm mù và phương tiện cắt ngang | + Kiểm soát hành trình thích ứng với tính năng Dừng & Đi | - Kiểm soát áp suất lốp | - Cốp điện",https://bonbanh.com/xe-ford-mustang-mach-e-premium-awd-2025-6387643,bonbanh.com,oto_dien,2499000000.0,Ford,Mustang Mach-E,Mua pin,True,True
